"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHACHAPOYAS (000)",22124,3147,6333,5775,6869
"Asiste actualmente (001)",15159,1597,6093,4872,2597
"No asiste (002)",6965,1550,240,903,4272
"Hombres (004)",11040,1597,3198,2891,3354
"Asiste actualmente (005)",7550,792,3074,2437,1247
"No asiste (006)",3490,805,124,454,2107
"Mujeres (008)",11084,1550,3135,2884,3515
"Asiste actualmente (009)",7609,805,3019,2435,1350
"No asiste (010)",3475,745,116,449,2165
,,,,,
"URBANA (012)",15108,1974,4105,4057,4972
"Asiste actualmente (013)",11092,1106,3979,3702,2305
"No asiste (014)",4016,868,126,355,2667
"Hombres (016)",7356,1030,2031,1963,2332
"Asiste actualmente (017)",5427,571,1968,1808,1080
"No asiste (018)",1929,459,63,155,1252
"Mujeres (020)",7752,944,2074,2094,2640
"Asiste actualmente (021)",5665,535,2011,1894,1225
"No asiste (022)",2087,409,63,200,1415
,,,,,
"RURAL (024)",7016,1173,2228,1718,1897
"Asiste actualmente (025)",4067,491,2114,1170,292
"No asiste (026)",2949,682,114,548,1605
"Hombres (028)",3684,567,1167,928,1022
"Asiste actualmente (029)",2123,221,1106,629,167
"No asiste (030)",1561,346,61,299,855
"Mujeres (032)",3332,606,1061,790,875
"Asiste actualmente (033)",1944,270,1008,541,125
"No asiste (034)",1388,336,53,249,750
