"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PACHITEA (000)",50529,23572,1465,488,25054
"Hombres (001)",25636,11272,760,254,13376
"Mujeres (002)",24893,12300,705,234,11678
"PEA (003)",17566,4746,541,151,12139
"Hombres (004)",15116,3954,388,124,10658
"Mujeres (005)",2450,792,153,27,1481
"Ocupada (006)",16666,4473,521,149,11534
"Hombres (007)",14501,3775,376,122,10236
"Mujeres (008)",2165,698,145,27,1298
"Desocupada (009)",900,273,20,2,605
"Hombres (010)",615,179,12,2,422
"Mujeres (011)",285,94,8,,183
"No PEA (012)",32963,18826,924,337,12915
"Hombres (013)",10520,7318,372,130,2718
"Mujeres (014)",22443,11508,552,207,10197
,,,,,
"URBANA (018)",7546,2497,658,149,4256
"Hombres (019)",3807,1145,347,83,2236
"Mujeres (020)",3739,1352,311,66,2020
"PEA (021)",2823,441,285,66,2034
"Hombres (022)",2079,296,169,50,1565
"Mujeres (023)",744,145,116,16,469
"Ocupada (024)",2579,403,278,65,1836
"Hombres (025)",1907,274,165,49,1420
"Mujeres (026)",672,129,113,16,416
"Desocupada (027)",244,38,7,1,198
"Hombres (028)",172,22,4,1,145
"Mujeres (029)",72,16,3,,53
"No PEA (030)",4723,2056,373,83,2222
"Hombres (031)",1728,849,178,33,671
"Mujeres (032)",2995,1207,195,50,1551
,,,,,
"RURAL (036)",42983,21075,807,339,20798
"Hombres (037)",21829,10127,413,171,11140
"Mujeres (038)",21154,10948,394,168,9658
"PEA (039)",14743,4305,256,85,10105
"Hombres (040)",13037,3658,219,74,9093
"Mujeres (041)",1706,647,37,11,1012
"Ocupada (042)",14087,4070,243,84,9698
"Hombres (043)",12594,3501,211,73,8816
"Mujeres (044)",1493,569,32,11,882
"Desocupada (045)",656,235,13,1,407
"Hombres (046)",443,157,8,1,277
"Mujeres (047)",213,78,5,,130
"No PEA (048)",28240,16770,551,254,10693
"Hombres (049)",8792,6469,194,97,2047
"Mujeres (050)",19448,10301,357,157,8646
