"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CANAS (000)",26359,4937,4350,4344,4260,3165,5303
"Católica (001)",20486,3816,3347,3352,3331,2478,4162
"Cristiana/Evangélica (002)",4695,860,764,799,760,564,948
"Otra (003)",683,123,121,100,96,98,145
"Ninguna (004)",495,138,118,93,73,25,48
"Hombres (006)",13016,2592,2206,2157,2075,1537,2449
"Católica (007)",10168,2029,1710,1654,1629,1211,1935
"Cristiana/Evangélica (008)",2232,427,359,393,356,272,425
"Otra (009)",340,64,64,49,48,43,72
"Ninguna (010)",276,72,73,61,42,11,17
"Mujeres (012)",13343,2345,2144,2187,2185,1628,2854
"Católica (013)",10318,1787,1637,1698,1702,1267,2227
"Cristiana/Evangélica (014)",2463,433,405,406,404,292,523
"Otra (015)",343,59,57,51,48,55,73
"Ninguna (016)",219,66,45,32,31,14,31
,,,,,,,
"URBANA (018)",4445,793,818,821,854,483,676
"Católica (019)",3831,691,698,715,731,419,577
"Cristiana/Evangélica (020)",384,62,62,54,92,42,72
"Otra (021)",107,15,22,20,15,15,20
"Ninguna (022)",123,25,36,32,16,7,7
"Hombres (024)",2211,410,420,412,421,233,315
"Católica (025)",1889,357,358,349,361,198,266
"Cristiana/Evangélica (026)",185,27,26,31,42,23,36
"Otra (027)",55,9,12,8,7,8,11
"Ninguna (028)",82,17,24,24,11,4,2
"Mujeres (030)",2234,383,398,409,433,250,361
"Católica (031)",1942,334,340,366,370,221,311
"Cristiana/Evangélica (032)",199,35,36,23,50,19,36
"Otra (033)",52,6,10,12,8,7,9
"Ninguna (034)",41,8,12,8,5,3,5
,,,,,,,
"RURAL (036)",21914,4144,3532,3523,3406,2682,4627
"Católica (037)",16655,3125,2649,2637,2600,2059,3585
"Cristiana/Evangélica (038)",4311,798,702,745,668,522,876
"Otra (039)",576,108,99,80,81,83,125
"Ninguna (040)",372,113,82,61,57,18,41
"Hombres (042)",10805,2182,1786,1745,1654,1304,2134
"Católica (043)",8279,1672,1352,1305,1268,1013,1669
"Cristiana/Evangélica (044)",2047,400,333,362,314,249,389
"Otra (045)",285,55,52,41,41,35,61
"Ninguna (046)",194,55,49,37,31,7,15
"Mujeres (048)",11109,1962,1746,1778,1752,1378,2493
"Católica (049)",8376,1453,1297,1332,1332,1046,1916
"Cristiana/Evangélica (050)",2264,398,369,383,354,273,487
"Otra (051)",291,53,47,39,40,48,64
"Ninguna (052)",178,58,33,24,26,11,26
