"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SIHUAS (000)",7658,92,2756,2730,824,273,129,63,5,,786
"Catolica (001)",6388,74,2247,2294,728,228,110,54,5,,648
"Cristiana / Evangelica (002)",1158,18,466,394,86,43,18,8,,,125
"Otra (003)",63,,23,31,5,1,,,,,3
"Ninguna (004)",49,,20,11,5,1,1,1,,,10
,,,,,,,,,,,
"URBANA (006)",2066,20,667,713,278,105,54,24,1,,204
"Catolica (007)",1771,16,561,618,247,89,49,19,1,,171
"Cristiana / Evangelica (008)",248,4,85,80,25,15,4,5,,,30
"Otra (009)",31,,15,12,3,,,,,,1
"Ninguna (010)",16,,6,3,3,1,1,,,,2
,,,,,,,,,,,
"RURAL (012)",5592,72,2089,2017,546,168,75,39,4,,582
"Catolica (013)",4617,58,1686,1676,481,139,61,35,4,,477
"Cristiana / Evangelica (014)",910,14,381,314,61,28,14,3,,,95
"Otra (015)",32,,8,19,2,1,,,,,2
"Ninguna (016)",33,,14,8,2,,,1,,,8
