"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PUERTO INCA (000)",15807,2523,4998,3852,4434
"Asiste actualmente (001)",8052,439,4444,2712,457
"No asiste (002)",7755,2084,554,1140,3977
"Hombres (004)",8359,1318,2598,2058,2385
"Asiste actualmente (005)",4228,216,2309,1429,274
"No asiste (006)",4131,1102,289,629,2111
"Mujeres (008)",7448,1205,2400,1794,2049
"Asiste actualmente (009)",3824,223,2135,1283,183
"No asiste (010)",3624,982,265,511,1866
,,,,,
"URBANA (012)",3036,399,908,876,853
"Asiste actualmente (013)",1908,93,866,779,170
"No asiste (014)",1128,306,42,97,683
"Hombres (016)",1547,213,456,435,443
"Asiste actualmente (017)",980,49,437,393,101
"No asiste (018)",567,164,19,42,342
"Mujeres (020)",1489,186,452,441,410
"Asiste actualmente (021)",928,44,429,386,69
"No asiste (022)",561,142,23,55,341
,,,,,
"RURAL (024)",12771,2124,4090,2976,3581
"Asiste actualmente (025)",6144,346,3578,1933,287
"No asiste (026)",6627,1778,512,1043,3294
"Hombres (028)",6812,1105,2142,1623,1942
"Asiste actualmente (029)",3248,167,1872,1036,173
"No asiste (030)",3564,938,270,587,1769
"Mujeres (032)",5959,1019,1948,1353,1639
"Asiste actualmente (033)",2896,179,1706,897,114
"No asiste (034)",3063,840,242,456,1525
