"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia LA MAR",,,,,,,,
"Hogares (001)",21407,11368,3695,871,61,563,158,8903
"Ocupantes presentes (002)",83157,47121,16182,3739,272,2499,592,31206
"Casa independiente",,,,,,,,
"Hogares (004)",18780,10207,3503,821,58,533,144,7502
"Ocupantes presentes (005)",73707,42586,15460,3534,261,2381,556,26519
"Departamento en edificio",,,,,,,,
"Hogares (007)",44,25,19,6,,3,3,9
"Ocupantes presentes (008)",116,71,58,23,,15,7,19
"Vivienda en quinta",,,,,,,,
"Hogares (010)",171,101,72,14,2,10,6,46
"Ocupantes presentes (011)",580,354,254,58,10,39,16,150
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",118,62,38,12,,3,4,45
"Ocupantes presentes (014)",399,213,144,40,,7,12,145
"Choza o cabaña",,,,,,,,
"Hogares (016)",2188,922,36,12,,3,,1254
"Ocupantes presentes (017)",7991,3721,162,60,,16,,4213
"Vivienda improvisada",,,,,,,,
"Hogares (019)",43,24,11,4,,7,,15
"Ocupantes presentes (020)",182,101,53,19,,28,,64
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",49,22,15,2,1,4,1,23
"Ocupantes presentes (023)",140,65,50,5,1,13,1,64
"Otro tipo",,,,,,,,
"Hogares (025)",14,5,1,,,,,9
"Ocupantes presentes (026)",42,10,1,,,,,32
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",8500,4619,2739,644,55,487,146,3017
"Ocupantes presentes (029)",33800,19315,11728,2683,243,2164,549,10901
"Casa independiente",,,,,,,,
"Hogares (031)",8072,4385,2584,606,52,460,132,2876
"Ocupantes presentes (032)",32371,18514,11175,2538,232,2062,513,10444
"Departamento en edificio",,,,,,,,
"Hogares (034)",44,25,19,6,,3,3,9
"Ocupantes presentes (035)",116,71,58,23,,15,7,19
"Vivienda en quinta",,,,,,,,
"Hogares (037)",171,101,72,14,2,10,6,46
"Ocupantes presentes (038)",580,354,254,58,10,39,16,150
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",118,62,38,12,,3,4,45
"Ocupantes presentes (041)",399,213,144,40,,7,12,145
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",43,24,11,4,,7,,15
"Ocupantes presentes (047)",182,101,53,19,,28,,64
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",40,17,14,2,1,4,1,19
"Ocupantes presentes (050)",117,52,43,5,1,13,1,54
"Otro tipo",,,,,,,,
"Hogares (052)",12,5,1,,,,,7
"Ocupantes presentes (053)",35,10,1,,,,,25
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",12907,6749,956,227,6,76,12,5886
"Ocupantes presentes (056)",49357,27806,4454,1056,29,335,43,20305
"Casa independiente",,,,,,,,
"Hogares (058)",10708,5822,919,215,6,73,12,4626
"Ocupantes presentes (059)",41336,24072,4285,996,29,319,43,16075
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2188,922,36,12,,3,,1254
"Ocupantes presentes (071)",7991,3721,162,60,,16,,4213
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",9,5,1,,,,,4
"Ocupantes presentes (077)",23,13,7,,,,,10
"Otro tipo",,,,,,,,
"Hogares (079)",2,,,,,,,2
"Ocupantes presentes (080)",7,,,,,,,7
