"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONDORCANQUI (000)",8505,8258,42,1449,1307,1116,1988,1359,738,259,247,34003
"De 12 a 14 años (001)",24,12,2,8,2,,,,,,12,12
"De 15 a 19 años (002)",837,783,9,581,159,31,3,,,,54,1004
"De 20 a 24 años (003)",1563,1481,5,440,517,318,183,18,,,82,3311
"De 25 a 29 años (004)",1551,1506,3,198,276,362,514,130,23,,45,5108
"De 30 a 34 años (005)",1135,1123,4,81,129,142,407,283,67,10,12,5068
"De 35 a 39 años (006)",1086,1079,1,35,76,92,337,326,173,39,7,5964
"De 40 a 44 años (007)",656,648,3,18,44,61,148,176,143,55,8,3906
"De 45 a 49 años (008)",534,530,,25,29,34,109,153,129,51,4,3315
"De 50 y más años (009)",1119,1096,15,63,75,76,287,273,203,104,23,6315
"PEA (010)",3681,3576,16,628,596,514,867,557,311,87,105,14355
"De 12 a 14 años (011)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (012)",343,328,3,238,73,11,3,,,,15,429
"De 20 a 24 años (013)",677,643,3,176,237,143,78,6,,,34,1442
"De 25 a 29 años (014)",678,649,3,103,104,158,220,53,8,,29,2152
"De 30 a 34 años (015)",526,518,2,47,62,64,180,129,34,,8,2279
"De 35 a 39 años (016)",521,519,,19,39,51,164,141,89,16,2,2818
"De 40 a 44 años (017)",303,301,1,10,32,35,71,71,62,19,2,1684
"De 45 a 49 años (018)",222,219,,10,18,16,47,60,51,17,3,1321
"De 50 y más años (019)",408,397,4,23,31,36,104,97,67,35,11,2228
"Ocupada (020)",3656,3553,15,622,590,512,863,554,310,87,103,14286
"De 12 a 14 años (021)",3,2,,2,,,,,,,1,2
