"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAHUAMANU (000)",5541,2658,308,559,2016
"Sin nivel (001)",197,189,2,1,5
"Educación inicial (002)",3,3,,,
"Primaria (003)",947,719,33,58,137
"Secundaria (004)",2532,1163,164,285,920
"Superior no univ. incompleta (005)",513,218,27,49,219
"Superior no univ. completa (006)",696,200,43,79,374
"Superior univ. incompleta (007)",217,87,8,21,101
"Superior univ. completa (008)",436,79,31,66,260
"De 06 a 14 años (010)",58,56,1,1,
"Sin nivel (011)",2,2,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",33,32,1,,
"Secundaria (014)",22,21,,1,
"De 15 a 29 años (020)",1902,855,122,229,696
"Sin nivel (021)",14,12,,,2
"Educación inicial (022)",2,2,,,
"Primaria (023)",183,140,7,19,17
"Secundaria (024)",1059,515,84,130,330
"Superior no univ. incompleta (025)",216,89,14,26,87
"Superior no univ. completa (026)",241,54,8,31,148
"Superior univ. incompleta (027)",74,28,5,7,34
"Superior univ. completa (028)",113,15,4,16,78
"De 30 a 44 años (030)",2176,908,119,227,922
"Sin nivel (031)",65,63,1,,1
"Primaria (033)",309,206,10,20,73
"Secundaria (034)",953,390,57,109,397
"Superior no univ. incompleta (035)",199,79,13,15,92
"Superior no univ. completa (036)",336,92,21,42,181
"Superior univ. incompleta (037)",89,36,1,8,44
"Superior univ. completa (038)",225,42,16,33,134
"De 45 a 64 años (040)",1204,664,61,98,381
"Sin nivel (041)",77,75,,1,1
"Primaria (043)",322,249,13,18,42
"Secundaria (044)",461,208,22,43,188
"Superior no univ. incompleta (045)",91,44,,8,39
"Superior no univ. completa (046)",110,47,14,6,43
"Superior univ. incompleta (047)",51,21,2,6,22
"Superior univ. completa (048)",92,20,10,16,46
"De 65 y más años (050)",201,175,5,4,17
"Sin nivel (051)",39,37,1,,1
"Primaria (053)",100,92,2,1,5
"Secundaria (054)",37,29,1,2,5
"Superior no univ. incompleta (055)",7,6,,,1
"Superior no univ. completa (056)",9,7,,,2
"Superior univ. incompleta (057)",3,2,,,1
"Superior univ. completa (058)",6,2,1,1,2
,,,,,
"URBANA (060)",3848,1528,244,422,1654
"Sin nivel (061)",69,63,1,,5
"Educación inicial (062)",2,2,,,
