"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia OXAPAMPA",,,,,,,,
"Hogares (001)",19549,12719,8028,2938,667,2601,991,4520
"Ocupantes presentes (002)",79447,52837,32549,11839,2628,10752,3822,17467
"Casa independiente",,,,,,,,
"Hogares (004)",14407,9745,7245,2647,635,2436,889,2623
"Ocupantes presentes (005)",58301,40418,29701,10725,2481,10080,3518,9677
"Departamento en edificio",,,,,,,,
"Hogares (007)",62,43,47,26,11,20,20,4
"Ocupantes presentes (008)",178,129,142,81,45,77,62,8
"Vivienda en quinta",,,,,,,,
"Hogares (010)",399,251,267,71,10,41,33,62
"Ocupantes presentes (011)",1242,806,868,248,36,159,109,164
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",365,221,210,58,7,26,29,72
"Ocupantes presentes (014)",1142,723,702,171,30,100,67,193
"Choza o cabaña",,,,,,,,
"Hogares (016)",4152,2356,178,116,4,46,11,1722
"Ocupantes presentes (017)",17996,10384,819,543,36,220,45,7302
"Vivienda improvisada",,,,,,,,
"Hogares (019)",89,58,54,8,,13,3,17
"Ocupantes presentes (020)",350,234,226,30,,43,7,59
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",47,30,22,9,,15,4,8
"Ocupantes presentes (023)",162,99,76,30,,59,9,35
"Otro tipo",,,,,,,,
"Hogares (025)",28,15,5,3,,4,2,12
"Ocupantes presentes (026)",76,44,15,11,,14,5,29
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",7382,5148,5227,1891,547,1861,855,882
"Ocupantes presentes (029)",28409,20253,20632,7390,2133,7589,3262,2987
"Casa independiente",,,,,,,,
"Hogares (031)",6422,4549,4628,1717,519,1744,765,717
"Ocupantes presentes (032)",25363,18281,18623,6828,2022,7152,3004,2539
"Departamento en edificio",,,,,,,,
"Hogares (034)",62,43,47,26,11,20,20,4
"Ocupantes presentes (035)",178,129,142,81,45,77,62,8
"Vivienda en quinta",,,,,,,,
"Hogares (037)",399,251,267,71,10,41,33,62
"Ocupantes presentes (038)",1242,806,868,248,36,159,109,164
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",365,221,210,58,7,26,29,72
"Ocupantes presentes (041)",1142,723,702,171,30,100,67,193
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",89,58,54,8,,13,3,17
"Ocupantes presentes (047)",350,234,226,30,,43,7,59
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",25,15,16,8,,13,3,2
"Ocupantes presentes (050)",80,48,56,21,,44,8,5
"Otro tipo",,,,,,,,
"Hogares (052)",20,11,5,3,,4,2,8
"Ocupantes presentes (053)",54,32,15,11,,14,5,19
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",12167,7571,2801,1047,120,740,136,3638
"Ocupantes presentes (056)",51038,32584,11917,4449,495,3163,560,14480
"Casa independiente",,,,,,,,
"Hogares (058)",7985,5196,2617,930,116,692,124,1906
"Ocupantes presentes (059)",32938,22137,11078,3897,459,2928,514,7138
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",4152,2356,178,116,4,46,11,1722
"Ocupantes presentes (071)",17996,10384,819,543,36,220,45,7302
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",22,15,6,1,,2,1,6
"Ocupantes presentes (077)",82,51,20,9,,15,1,30
"Otro tipo",,,,,,,,
"Hogares (079)",8,4,,,,,,4
"Ocupantes presentes (080)",22,12,,,,,,10
