"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia AMBO (000)",19829,19341,6186,2112,2070,1768,2825,1954,2426,488
"Católica (001)",15021,14609,4907,1669,1582,1358,2110,1368,1615,412
"Cristiana/Evangélica (002)",4531,4466,1177,406,450,386,690,571,786,65
"Otra (003)",127,124,42,15,15,14,14,8,16,3
"Ninguna (004)",150,142,60,22,23,10,11,7,9,8
,,,,,,,,,,
"URBANA (006)",7101,6911,2341,821,812,678,972,603,684,190
"Católica (007)",5155,5003,1741,630,608,509,690,413,412,152
"Cristiana/Evangélica (008)",1757,1726,530,160,179,148,268,181,260,31
"Otra (009)",85,83,29,11,13,11,7,4,8,2
"Ninguna (010)",104,99,41,20,12,10,7,5,4,5
,,,,,,,,,,
"RURAL (012)",12728,12430,3845,1291,1258,1090,1853,1351,1742,298
"Católica (013)",9866,9606,3166,1039,974,849,1420,955,1203,260
"Cristiana/Evangélica (014)",2774,2740,647,246,271,238,422,390,526,34
"Otra (015)",42,41,13,4,2,3,7,4,8,1
"Ninguna (016)",46,43,19,2,11,,4,2,5,3
