"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCARTAMBO (000)",15491,3478,79,8304,2846,171,325,71,217
"Empleado (001)",845,21,,91,204,71,250,35,173
"Obrero (002)",1347,172,6,669,450,28,15,5,2
"Trabajador independiente (003)",9191,1994,40,5492,1517,47,48,24,29
"Empleador o patrono (004)",197,43,,105,36,5,,2,6
"Trabajador familiar no remunerado (005)",3792,1224,33,1899,594,19,12,4,7
"Trabajador del hogar (006)",119,24,,48,45,1,,1,
"Hombres (008)",10432,1542,31,6094,2276,127,181,58,123
"Empleado (009)",508,9,,59,143,52,127,29,89
"Obrero (010)",1106,80,4,572,403,28,14,4,1
"Trabajador independiente (011)",7412,1282,23,4728,1270,33,34,20,22
"Empleador o patrono (012)",156,26,,89,31,2,,2,6
"Trabajador familiar no remunerado (013)",1234,143,4,642,420,12,6,2,5
"Trabajador del hogar (014)",16,2,,4,9,,,1,
"Mujeres (016)",5059,1936,48,2210,570,44,144,13,94
"Empleado (017)",337,12,,32,61,19,123,6,84
"Obrero (018)",241,92,2,97,47,,1,1,1
"Trabajador independiente (019)",1779,712,17,764,247,14,14,4,7
"Empleador o patrono (020)",41,17,,16,5,3,,,
"Trabajador familiar no remunerado (021)",2558,1081,29,1257,174,7,6,2,2
"Trabajador del hogar (022)",103,22,,44,36,1,,,
,,,,,,,,,
"URBANA (024)",2938,256,14,1041,1034,123,258,50,162
"Empleado (025)",601,6,,50,127,54,204,29,131
"Obrero (026)",424,32,3,166,188,19,10,4,2
"Trabajador independiente (027)",1475,171,6,640,558,31,34,13,22
"Empleador o patrono (028)",57,6,,21,20,5,,1,4
"Trabajador familiar no remunerado (029)",319,34,5,136,116,13,10,2,3
"Trabajador del hogar (030)",62,7,,28,25,1,,1,
"Hombres (032)",1847,84,6,652,750,86,136,40,93
"Empleado (033)",351,3,,31,86,37,100,24,70
"Obrero (034)",369,18,2,146,171,19,9,3,1
"Trabajador independiente (035)",938,57,3,406,403,20,23,10,16
"Empleador o patrono (036)",42,1,,17,17,2,,1,4
"Trabajador familiar no remunerado (037)",140,5,1,51,68,8,4,1,2
"Trabajador del hogar (038)",7,,,1,5,,,1,
"Mujeres (040)",1091,172,8,389,284,37,122,10,69
"Empleado (041)",250,3,,19,41,17,104,5,61
"Obrero (042)",55,14,1,20,17,,1,1,1
"Trabajador independiente (043)",537,114,3,234,155,11,11,3,6
"Empleador o patrono (044)",15,5,,4,3,3,,,
"Trabajador familiar no remunerado (045)",179,29,4,85,48,5,6,1,1
"Trabajador del hogar (046)",55,7,,27,20,1,,,
,,,,,,,,,
"RURAL (048)",12553,3222,65,7263,1812,48,67,21,55
"Empleado (049)",244,15,,41,77,17,46,6,42
"Obrero (050)",923,140,3,503,262,9,5,1,
"Trabajador independiente (051)",7716,1823,34,4852,959,16,14,11,7
"Empleador o patrono (052)",140,37,,84,16,,,1,2
"Trabajador familiar no remunerado (053)",3473,1190,28,1763,478,6,2,2,4
"Trabajador del hogar (054)",57,17,,20,20,,,,
"Hombres (056)",8585,1458,25,5442,1526,41,45,18,30
"Empleado (057)",157,6,,28,57,15,27,5,19
"Obrero (058)",737,62,2,426,232,9,5,1,
"Trabajador independiente (059)",6474,1225,20,4322,867,13,11,10,6
"Empleador o patrono (060)",114,25,,72,14,,,1,2
"Trabajador familiar no remunerado (061)",1094,138,3,591,352,4,2,1,3
"Trabajador del hogar (062)",9,2,,3,4,,,,
"Mujeres (064)",3968,1764,40,1821,286,7,22,3,25
"Empleado (065)",87,9,,13,20,2,19,1,23
"Obrero (066)",186,78,1,77,30,,,,
"Trabajador independiente (067)",1242,598,14,530,92,3,3,1,1
"Empleador o patrono (068)",26,12,,12,2,,,,
"Trabajador familiar no remunerado (069)",2379,1052,25,1172,126,2,,1,1
"Trabajador del hogar (070)",48,15,,17,16,,,,
