"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PURUS (000)",1053,708,139,45,161
"Empleado (001)",322,76,97,29,120
"Obrero (002)",140,74,16,9,41
"Trabajador independiente (003)",453,431,22,,
"Empleador o patrono (004)",9,7,2,,
"Trabajador familiar no remunerado (005)",121,112,2,7,
"Trabajador del hogar (006)",8,8,,,
"De 06 a 14 años (008)",18,17,1,,
"Empleado (009)",1,1,,,
"Obrero (010)",1,1,,,
"Trabajador independiente (011)",4,4,,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",11,10,1,,
"De 15 a 29 años (016)",384,266,48,16,54
"Empleado (017)",102,27,29,10,36
"Obrero (018)",66,35,10,3,18
"Trabajador independiente (019)",147,140,7,,
"Empleador o patrono (020)",3,1,2,,
"Trabajador familiar no remunerado (021)",61,58,,3,
"Trabajador del hogar (022)",5,5,,,
"De 30 a 44 años (024)",438,267,71,26,74
"Empleado (025)",171,33,60,17,61
"Obrero (026)",50,29,3,5,13
"Trabajador independiente (027)",181,173,8,,
"Empleador o patrono (028)",3,3,,,
"Trabajador familiar no remunerado (029)",30,26,,4,
"Trabajador del hogar (030)",3,3,,,
"De 45 a 64 años (032)",187,136,18,3,30
"Empleado (033)",48,15,8,2,23
"Obrero (034)",20,9,3,1,7
"Trabajador independiente (035)",101,95,6,,
"Empleador o patrono (036)",1,1,,,
"Trabajador familiar no remunerado (037)",17,16,1,,
"De 65 y más años (040)",26,22,1,,3
"Obrero (042)",3,,,,3
"Trabajador independiente (043)",20,19,1,,
"Empleador o patrono (044)",1,1,,,
"Trabajador familiar no remunerado (045)",2,2,,,
,,,,,
"URBANA (048)",470,237,67,25,141
"Empleado (049)",214,36,49,20,109
"Obrero (050)",93,49,8,4,32
"Trabajador independiente (051)",129,120,9,,
"Empleador o patrono (052)",1,1,,,
"Trabajador familiar no remunerado (053)",27,25,1,1,
"Trabajador del hogar (054)",6,6,,,
"De 06 a 14 años (056)",13,13,,,
"Empleado (057)",1,1,,,
"Trabajador independiente (059)",4,4,,,
"Empleador o patrono (060)",1,1,,,
"Trabajador familiar no remunerado (061)",7,7,,,
"De 15 a 29 años (064)",159,79,25,8,47
"Empleado (065)",66,12,15,7,32
"Obrero (066)",41,19,6,1,15
"Trabajador independiente (067)",38,34,4,,
"Trabajador familiar no remunerado (069)",11,11,,,
"Trabajador del hogar (070)",3,3,,,
"De 30 a 44 años (072)",207,98,32,15,62
"Empleado (073)",112,18,29,11,54
"Obrero (074)",34,22,1,3,8
"Trabajador independiente (075)",52,50,2,,
"Trabajador familiar no remunerado (077)",6,5,,1,
"Trabajador del hogar (078)",3,3,,,
"De 45 a 64 años (080)",84,42,10,2,30
"Empleado (081)",35,5,5,2,23
"Obrero (082)",16,8,1,,7
"Trabajador independiente (083)",30,27,3,,
"Trabajador familiar no remunerado (085)",3,2,1,,
"De 65 y más años (088)",7,5,,,2
"Obrero (090)",2,,,,2
"Trabajador independiente (091)",5,5,,,
,,,,,
"RURAL (096)",583,471,72,20,20
"Empleado (097)",108,40,48,9,11
"Obrero (098)",47,25,8,5,9
"Trabajador independiente (099)",324,311,13,,
"Empleador o patrono (100)",8,6,2,,
"Trabajador familiar no remunerado (101)",94,87,1,6,
"Trabajador del hogar (102)",2,2,,,
"De 06 a 14 años (104)",5,4,1,,
"Obrero (106)",1,1,,,
"Trabajador familiar no remunerado (109)",4,3,1,,
"De 15 a 29 años (112)",225,187,23,8,7
"Empleado (113)",36,15,14,3,4
"Obrero (114)",25,16,4,2,3
"Trabajador independiente (115)",109,106,3,,
"Empleador o patrono (116)",3,1,2,,
"Trabajador familiar no remunerado (117)",50,47,,3,
"Trabajador del hogar (118)",2,2,,,
"De 30 a 44 años (120)",231,169,39,11,12
"Empleado (121)",59,15,31,6,7
"Obrero (122)",16,7,2,2,5
"Trabajador independiente (123)",129,123,6,,
"Empleador o patrono (124)",3,3,,,
"Trabajador familiar no remunerado (125)",24,21,,3,
"De 45 a 64 años (128)",103,94,8,1,
"Empleado (129)",13,10,3,,
"Obrero (130)",4,1,2,1,
"Trabajador independiente (131)",71,68,3,,
"Empleador o patrono (132)",1,1,,,
"Trabajador familiar no remunerado (133)",14,14,,,
"De 65 y más años (136)",19,17,1,,1
"Obrero (138)",1,,,,1
"Trabajador independiente (139)",15,14,1,,
"Empleador o patrono (140)",1,1,,,
"Trabajador familiar no remunerado (141)",2,2,,,
