"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCAYO (000)",466346,36246,87564,20080,323976
"Menos de 1 año (001)",7723,2262,1213,244,4021
"De 1 a 14 años (002)",134143,24385,23746,4789,81549
"De 15 a 29 años (003)",133048,5589,13517,5555,108660
"De 30 a 44 años (004)",90261,2134,19045,4808,64775
"De 45 a 64 años (005)",70900,1291,20375,3523,46059
"De 65 y mas años (006)",30271,585,9668,1161,18912
"Hombres (008)",222808,17369,41152,11394,153810
"Menos de 1 año (009)",3964,1164,642,134,2034
"De 1 a 14 años (010)",68131,12495,12056,2479,41276
"De 15 a 29 años (011)",63660,2100,6090,3267,52355
"De 30 a 44 años (012)",40573,712,8010,2789,29375
"De 45 a 64 años (013)",32390,576,9108,2051,20890
"De 65 y mas años (014)",14090,322,5246,674,7880
"Mujeres (016)",243538,18877,46412,8686,170166
"Menos de 1 año (017)",3759,1098,571,110,1987
"De 1 a 14 años (018)",66012,11890,11690,2310,40273
"De 15 a 29 años (019)",69388,3489,7427,2288,56305
"De 30 a 44 años (020)",49688,1422,11035,2019,35400
"De 45 a 64 años (021)",38510,715,11267,1472,25169
"De 65 y mas años (022)",16181,263,4422,487,11032
,,,,,
"URBANA (024)",412051,25204,84521,19042,284771
"Menos de 1 año (025)",6751,1740,1141,223,3664
"De 1 a 14 años (026)",115341,16126,22742,4281,72507
"De 15 a 29 años (027)",119674,4228,13022,5372,97318
"De 30 a 44 años (028)",81120,1584,18478,4662,56888
"De 45 a 64 años (029)",63040,1035,19830,3397,39120
"De 65 y mas años (030)",26125,491,9308,1107,15274
"Hombres (032)",196262,12028,39571,10835,134724
"Menos de 1 año (033)",3472,907,604,124,1847
"De 1 a 14 años (034)",58550,8290,11548,2231,36653
"De 15 a 29 años (035)",57164,1573,5868,3162,46707
"De 30 a 44 años (036)",36221,521,7720,2697,25589
"De 45 a 64 años (037)",28683,466,8810,1977,17660
"De 65 y mas años (038)",12172,271,5021,644,6268
"Mujeres (040)",215789,13176,44950,8207,150047
"Menos de 1 año (041)",3279,833,537,99,1817
"De 1 a 14 años (042)",56791,7836,11194,2050,35854
"De 15 a 29 años (043)",62510,2655,7154,2210,50611
"De 30 a 44 años (044)",44899,1063,10758,1965,31299
"De 45 a 64 años (045)",34357,569,11020,1420,21460
"De 65 y mas años (046)",13953,220,4287,463,9006
,,,,,
"RURAL (048)",54295,11042,3043,1038,39205
"Menos de 1 año (049)",972,522,72,21,357
"De 1 a 14 años (050)",18802,8259,1004,508,9042
"De 15 a 29 años (051)",13374,1361,495,183,11342
"De 30 a 44 años (052)",9141,550,567,146,7887
"De 45 a 64 años (053)",7860,256,545,126,6939
"De 65 y mas años (054)",4146,94,360,54,3638
"Hombres (056)",26546,5341,1581,559,19086
"Menos de 1 año (057)",492,257,38,10,187
"De 1 a 14 años (058)",9581,4205,508,248,4623
"De 15 a 29 años (059)",6496,527,222,105,5648
"De 30 a 44 años (060)",4352,191,290,92,3786
"De 45 a 64 años (061)",3707,110,298,74,3230
"De 65 y mas años (062)",1918,51,225,30,1612
"Mujeres (064)",27749,5701,1462,479,20119
"Menos de 1 año (065)",480,265,34,11,170
"De 1 a 14 años (066)",9221,4054,496,260,4419
"De 15 a 29 años (067)",6878,834,273,78,5694
"De 30 a 44 años (068)",4789,359,277,54,4101
"De 45 a 64 años (069)",4153,146,247,52,3709
"De 65 y mas años (070)",2228,43,135,24,2026
