"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AYABACA (000)",1580,621,959
"De 14 a 29 años (001)",948,476,472
"De 30 a 44 años (002)",382,121,261
"De 45 a 64 años (003)",183,24,159
"De 65 y más años (004)",67,,67
"Hombres (005)",1319,468,851
"De 14 a 29 años (006)",753,347,406
"De 30 a 44 años (007)",335,101,234
"De 45 a 64 años (008)",166,20,146
"De 65 y más años (009)",65,,65
"Mujeres (010)",261,153,108
"De 14 a 29 años (011)",195,129,66
"De 30 a 44 años (012)",47,20,27
"De 45 a 64 años (013)",17,4,13
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",358,139,219
"De 14 a 29 años (016)",200,103,97
"De 30 a 44 años (017)",94,27,67
"De 45 a 64 años (018)",53,9,44
"De 65 y más años (019)",11,,11
"Hombres (020)",255,86,169
"De 14 a 29 años (021)",135,63,72
"De 30 a 44 años (022)",66,18,48
"De 45 a 64 años (023)",43,5,38
"De 65 y más años (024)",11,,11
"Mujeres (025)",103,53,50
"De 14 a 29 años (026)",65,40,25
"De 30 a 44 años (027)",28,9,19
"De 45 a 64 años (028)",10,4,6
,,,
"AREA RURAL (030)",1222,482,740
"De 14 a 29 años (031)",748,373,375
"De 30 a 44 años (032)",288,94,194
"De 45 a 64 años (033)",130,15,115
"De 65 y más años (034)",56,,56
"Hombres (035)",1064,382,682
"De 14 a 29 años (036)",618,284,334
"De 30 a 44 años (037)",269,83,186
"De 45 a 64 años (038)",123,15,108
"De 65 y más años (039)",54,,54
"Mujeres (040)",158,100,58
"De 14 a 29 años (041)",130,89,41
"De 30 a 44 años (042)",19,11,8
"De 45 a 64 años (043)",7,,7
"De 65 y más años (044)",2,,2
