"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia CUSCO",,,,,,,
"Hogares (001)",95385,4404,988,606,1637,2189,86429
"Ocupantes presentes (002)",357236,17989,4009,2772,7015,9750,319510
"Casa independiente",,,,,,,
"Hogares (004)",72419,3454,808,468,1339,1772,65279
"Ocupantes presentes (005)",282743,14625,3409,2187,5932,8117,251681
"Departamento en edificio",,,,,,,
"Hogares (007)",6140,299,44,27,83,100,5635
"Ocupantes presentes (008)",20399,1079,140,122,316,396,18512
"Vivienda en quinta",,,,,,,
"Hogares (010)",5121,246,47,30,59,95,4683
"Ocupantes presentes (011)",16408,861,158,140,199,388,14817
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",11045,395,88,75,148,209,10209
"Ocupantes presentes (014)",35581,1397,301,301,537,796,32523
"Choza o cabaña",,,,,,,
"Hogares (016)",269,2,1,2,6,7,252
"Ocupantes presentes (017)",1046,4,1,16,24,31,976
"Vivienda improvisada",,,,,,,
"Hogares (019)",117,2,,,,3,112
"Ocupantes presentes (020)",278,6,,,,9,263
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",142,4,,4,1,3,130
"Ocupantes presentes (023)",420,12,,6,5,13,384
"Otro tipo",,,,,,,
"Hogares (025)",132,2,,,1,,129
"Ocupantes presentes (026)",361,5,,,2,,354
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",91439,4342,953,573,1548,2075,82793
"Ocupantes presentes (029)",341229,17734,3882,2615,6632,9294,304777
"Casa independiente",,,,,,,
"Hogares (031)",68743,3394,774,437,1256,1665,61896
"Ocupantes presentes (032)",267790,14374,3283,2046,5573,7692,237932
"Departamento en edificio",,,,,,,
"Hogares (034)",6140,299,44,27,83,100,5635
"Ocupantes presentes (035)",20399,1079,140,122,316,396,18512
"Vivienda en quinta",,,,,,,
"Hogares (037)",5121,246,47,30,59,95,4683
"Ocupantes presentes (038)",16408,861,158,140,199,388,14817
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",11045,395,88,75,148,209,10209
"Ocupantes presentes (041)",35581,1397,301,301,537,796,32523
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",117,2,,,,3,112
"Ocupantes presentes (047)",278,6,,,,9,263
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",141,4,,4,1,3,129
"Ocupantes presentes (050)",412,12,,6,5,13,376
"Otro tipo",,,,,,,
"Hogares (052)",132,2,,,1,,129
"Ocupantes presentes (053)",361,5,,,2,,354
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",3946,62,35,33,89,114,3636
"Ocupantes presentes (056)",16007,255,127,157,383,456,14733
"Casa independiente",,,,,,,
"Hogares (058)",3676,60,34,31,83,107,3383
"Ocupantes presentes (059)",14953,251,126,141,359,425,13749
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",269,2,1,2,6,7,252
"Ocupantes presentes (071)",1046,4,1,16,24,31,976
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",1,,,,,,1
"Ocupantes presentes (077)",8,,,,,,8
"Otro tipo",,,,,,,
