"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PALPA (000)",12121,1021,279,3572,4757,697,829,362,604
"Quechua (001)",883,231,1,421,189,15,10,4,12
"Aymara (002)",21,2,,5,10,1,,1,2
"Castellano (005)",11198,783,276,3140,4554,681,819,357,588
"Idioma extranjero (006)",4,,1,,1,,,,2
"Es sordomudo/a (007)",15,5,1,6,3,,,,
"Hombres (009)",6204,417,162,1825,2609,316,330,218,327
"Quechua (010)",405,47,,211,125,5,6,3,8
"Aymara (011)",11,1,,3,4,1,,,2
"Castellano (014)",5775,365,160,1608,2477,310,324,215,316
"Idioma extranjero (015)",3,,1,,1,,,,1
"Es sordomudo/a (016)",10,4,1,3,2,,,,
"Mujeres (018)",5917,604,117,1747,2148,381,499,144,277
"Quechua (019)",478,184,1,210,64,10,4,1,4
"Aymara (020)",10,1,,2,6,,,1,
"Castellano (023)",5423,418,116,1532,2077,371,495,142,272
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",5,1,,3,1,,,,
,,,,,,,,,
"URBANA (027)",7984,620,184,2203,3041,502,659,275,500
"Quechua (028)",596,146,1,280,142,9,7,3,8
"Aymara (029)",18,2,,3,10,,,1,2
"Castellano (032)",7359,469,181,1917,2886,493,652,271,490
"Idioma extranjero (033)",2,,1,,1,,,,
"Es sordomudo/a (034)",9,3,1,3,2,,,,
"Hombres (036)",3979,248,112,1104,1605,228,251,161,270
"Quechua (037)",279,25,,143,94,4,3,3,7
"Aymara (038)",8,1,,1,4,,,,2
"Castellano (041)",3683,220,110,958,1504,224,248,158,261
"Idioma extranjero (042)",2,,1,,1,,,,
"Es sordomudo/a (043)",7,2,1,2,2,,,,
"Mujeres (045)",4005,372,72,1099,1436,274,408,114,230
"Quechua (046)",317,121,1,137,48,5,4,,1
"Aymara (047)",10,1,,2,6,,,1,
"Castellano (050)",3676,249,71,959,1382,269,404,113,229
"Es sordomudo/a (052)",2,1,,1,,,,,
,,,,,,,,,
"RURAL (054)",4137,401,95,1369,1716,195,170,87,104
"Quechua (055)",287,85,,141,47,6,3,1,4
"Aymara (056)",3,,,2,,1,,,
"Castellano (059)",3839,314,95,1223,1668,188,167,86,98
"Idioma extranjero (060)",2,,,,,,,,2
"Es sordomudo/a (061)",6,2,,3,1,,,,
"Hombres (063)",2225,169,50,721,1004,88,79,57,57
"Quechua (064)",126,22,,68,31,1,3,,1
"Aymara (065)",3,,,2,,1,,,
"Castellano (068)",2092,145,50,650,973,86,76,57,55
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",3,2,,1,,,,,
"Mujeres (072)",1912,232,45,648,712,107,91,30,47
"Quechua (073)",161,63,,73,16,5,,1,3
"Castellano (077)",1747,169,45,573,695,102,91,29,43
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",3,,,2,1,,,,
