"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PALLASCA (000)",29454,815,10279,6622,4979,4113,2646
"Hombres (001)",14886,409,5212,3433,2580,2074,1178
"Mujeres (002)",14568,406,5067,3189,2399,2039,1468
"Viviendas particulares (003)",29027,815,10266,6435,4828,4048,2635
"Hombres (004)",14532,409,5205,3286,2448,2013,1171
"Mujeres (005)",14495,406,5061,3149,2380,2035,1464
"Viviendas colectivas (006)",377,,10,173,136,48,10
"Hombres (007)",315,,6,135,120,47,7
"Mujeres (008)",62,,4,38,16,1,3
"Otro tipo (009)",50,,3,14,15,17,1
"Hombres (010)",39,,1,12,12,14,
"Mujeres (011)",11,,2,2,3,3,1
,,,,,,,
"URBANA (012)",15229,363,4997,3418,2666,2284,1501
"Hombres (013)",7597,165,2532,1778,1353,1129,640
"Mujeres (014)",7632,198,2465,1640,1313,1155,861
"Viviendas particulares (015)",15045,363,4984,3356,2601,2251,1490
"Hombres (016)",7472,165,2525,1750,1300,1099,633
"Mujeres (017)",7573,198,2459,1606,1301,1152,857
"Viviendas colectivas (018)",134,,10,48,50,16,10
"Hombres (019)",86,,6,16,41,16,7
"Mujeres (020)",48,,4,32,9,,3
"Otro tipo (021)",50,,3,14,15,17,1
"Hombres (022)",39,,1,12,12,14,
"Mujeres (023)",11,,2,2,3,3,1
,,,,,,,
"RURAL (024)",14225,452,5282,3204,2313,1829,1145
"Hombres (025)",7289,244,2680,1655,1227,945,538
"Mujeres (026)",6936,208,2602,1549,1086,884,607
"Viviendas particulares (027)",13982,452,5282,3079,2227,1797,1145
"Hombres (028)",7060,244,2680,1536,1148,914,538
"Mujeres (029)",6922,208,2602,1543,1079,883,607
"Viviendas colectivas (030)",243,,,125,86,32,
"Hombres (031)",229,,,119,79,31,
"Mujeres (032)",14,,,6,7,1,
