"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TARATA (000)",4020,538,585,1982,40,849,26
"Conviviente (001)",1305,150,228,657,9,254,7
"Separado(a) (002)",158,24,28,97,1,6,2
"Casado(a) (003)",1354,169,123,747,16,292,7
"Viudo(a) (004)",233,4,15,190,2,20,2
"Divorciado(a) (005)",27,7,2,16,1,1,
"Soltero(a) (006)",943,184,189,275,11,276,8
"Hombres (008)",2313,311,439,1231,31,298,3
"Conviviente (009)",753,94,164,423,8,64,
"Separado(a) (010)",68,12,13,39,1,3,
"Casado(a) (011)",783,120,93,510,13,47,
"Viudo(a) (012)",84,1,9,69,1,4,
"Divorciado(a) (013)",18,7,,10,,1,
"Soltero(a) (014)",607,77,160,180,8,179,3
"Mujeres (016)",1707,227,146,751,9,551,23
"Conviviente (017)",552,56,64,234,1,190,7
"Separado(a) (018)",90,12,15,58,,3,2
"Casado(a) (019)",571,49,30,237,3,245,7
"Viudo(a) (020)",149,3,6,121,1,16,2
"Divorciado(a) (021)",9,,2,6,1,,
"Soltero(a) (022)",336,107,29,95,3,97,5
,,,,,,,
"URBANA (024)",3021,446,482,1459,39,571,24
"Conviviente (025)",985,128,194,486,9,161,7
"Separado(a) (026)",111,20,24,62,1,2,2
"Casado(a) (027)",1025,142,97,561,16,203,6
"Viudo(a) (028)",163,4,13,134,2,8,2
"Divorciado(a) (029)",24,6,2,15,1,,
"Soltero(a) (030)",713,146,152,201,10,197,7
"Hombres (032)",1723,257,348,888,30,197,3
"Conviviente (033)",561,80,133,301,8,39,
"Separado(a) (034)",46,8,11,25,1,1,
"Casado(a) (035)",591,103,72,377,13,26,
"Viudo(a) (036)",59,1,8,48,1,1,
"Divorciado(a) (037)",15,6,,9,,,
"Soltero(a) (038)",451,59,124,128,7,130,3
"Mujeres (040)",1298,189,134,571,9,374,21
"Conviviente (041)",424,48,61,185,1,122,7
"Separado(a) (042)",65,12,13,37,,1,2
"Casado(a) (043)",434,39,25,184,3,177,6
"Viudo(a) (044)",104,3,5,86,1,7,2
"Divorciado(a) (045)",9,,2,6,1,,
"Soltero(a) (046)",262,87,28,73,3,67,4
,,,,,,,
"RURAL (048)",999,92,103,523,1,278,2
"Conviviente (049)",320,22,34,171,,93,
"Separado(a) (050)",47,4,4,35,,4,
"Casado(a) (051)",329,27,26,186,,89,1
"Viudo(a) (052)",70,,2,56,,12,
"Divorciado(a) (053)",3,1,,1,,1,
"Soltero(a) (054)",230,38,37,74,1,79,1
"Hombres (056)",590,54,91,343,1,101,
"Conviviente (057)",192,14,31,122,,25,
"Separado(a) (058)",22,4,2,14,,2,
"Casado(a) (059)",192,17,21,133,,21,
"Viudo(a) (060)",25,,1,21,,3,
"Divorciado(a) (061)",3,1,,1,,1,
"Soltero(a) (062)",156,18,36,52,1,49,
"Mujeres (064)",409,38,12,180,,177,2
"Conviviente (065)",128,8,3,49,,68,
"Separado(a) (066)",25,,2,21,,2,
"Casado(a) (067)",137,10,5,53,,68,1
"Viudo(a) (068)",45,,1,35,,9,
"Soltero(a) (070)",74,20,1,22,,30,1
