"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAJABAMBA (000)",19058,246,7458,6423,1938,689,312,137,26,,1829
"Catolica (001)",14813,197,5718,4975,1556,535,246,99,17,,1470
"Cristiana / Evangelica (002)",3922,42,1631,1352,351,138,60,35,8,,305
"Otra (003)",116,1,34,36,12,10,1,,,,22
"Ninguna (004)",207,6,75,60,19,6,5,3,1,,32
,,,,,,,,,,,
"URBANA (006)",5163,54,1604,1725,678,285,131,50,10,,626
"Catolica (007)",4104,43,1237,1366,570,233,106,42,8,,499
"Cristiana / Evangelica (008)",905,9,315,317,88,44,24,7,1,,100
"Otra (009)",73,1,19,20,8,6,1,,,,18
"Ninguna (010)",81,1,33,22,12,2,,1,1,,9
,,,,,,,,,,,
"RURAL (012)",13895,192,5854,4698,1260,404,181,87,16,,1203
"Catolica (013)",10709,154,4481,3609,986,302,140,57,9,,971
"Cristiana / Evangelica (014)",3017,33,1316,1035,263,94,36,28,7,,205
"Otra (015)",43,,15,16,4,4,,,,,4
"Ninguna (016)",126,5,42,38,7,4,5,2,,,23
