"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AIJA (000)",2904,2839,719,297,314,307,482,318,215,187,65,10001
"De 12 a 14 años (001)",252,252,250,1,1,,,,,,,3
"De 15 a 19 años (002)",340,339,289,46,4,,,,,,1,54
"De 20 a 24 años (003)",291,267,83,92,61,27,4,,,,24,311
"De 25 a 29 años (004)",245,226,35,58,50,51,28,4,,,19,460
"De 30 a 34 años (005)",230,224,16,27,49,44,70,15,3,,6,684
"De 35 a 39 años (006)",236,233,5,19,45,54,68,29,12,1,3,858
"De 40 a 44 años (007)",197,195,9,12,24,36,51,46,13,4,2,838
"De 45 a 49 años (008)",205,203,6,11,16,25,62,44,23,16,2,1048
"De 50 y más años (009)",908,900,26,31,64,70,199,180,164,166,8,5745
"PEA (010)",581,561,112,79,90,92,88,46,32,22,20,1735
"De 12 a 14 años (011)",16,16,16,,,,,,,,,
"De 15 a 19 años (012)",36,36,32,4,,,,,,,,4
"De 20 a 24 años (013)",61,55,23,19,10,3,,,,,6,48
"De 25 a 29 años (014)",79,72,18,22,13,16,3,,,,7,109
"De 30 a 34 años (015)",55,52,7,10,15,9,10,1,,,3,118
"De 35 a 39 años (016)",77,75,4,7,23,24,14,,3,,2,208
"De 40 a 44 años (017)",65,64,3,9,9,12,15,12,3,1,1,238
"De 45 a 49 años (018)",60,60,3,6,7,11,16,10,4,3,,254
"De 50 y más años (019)",132,131,6,2,13,17,30,23,22,18,1,756
"Ocupada (020)",566,548,103,78,89,90,88,46,32,22,18,1726
"De 12 a 14 años (021)",16,16,16,,,,,,,,,
"De 15 a 19 años (022)",32,32,28,4,,,,,,,,4
"De 20 a 24 años (023)",57,51,20,19,9,3,,,,,6,46
"De 25 a 29 años (024)",76,70,18,21,13,15,3,,,,6,105
