"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia JULCAN (000)",8679,8,340,36,48,239,4891,83,95,1640,13,386,900
"Agric., ganadería, caza y silvicultura (001)",6318,,1,,,,4891,,2,1424,,,
"Explotación de minas y canteras (003)",4,,,,,,,2,,2,,,
"Industrias manufactureras (004)",73,,,1,,6,,64,,2,,,
"Suministro de electricidad, gas y agua (005)",4,,,,,,,2,2,,,,
"Construcción (006)",71,,,1,,,,4,41,25,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",243,,4,,,185,,11,,43,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2,,,,,,,2,,,,,
"Comercio al por mayor (009)",12,,,,,11,,,,1,,,
"Comercio al por menor (010)",229,,4,,,174,,9,,42,,,
"Hoteles y restaurantes (011)",57,,,,,43,,,,14,,,
"Trans., almac. y comunicaciones (012)",78,,,,6,,,,50,22,,,
"Activid.inmobil., empres. y alquileres (014)",20,,4,7,5,,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",58,8,3,1,20,,,,,13,13,,
"Enseñanza (016)",321,,307,2,6,,,,,6,,,
"Servicios sociales y de salud (017)",47,,19,17,11,,,,,,,,
"Otras activ. serv.comun.soc y personales (018)",33,,2,6,,5,,,,20,,,
"Hogares privados con servicio doméstico (019)",64,,,,,,,,,64,,,
"Actividad economica no especificada (021)",388,,,1,,,,,,1,,386,
"Desocupado (022)",900,,,,,,,,,,,,900
"Hombres (023)",7666,6,134,24,30,106,4832,79,95,1426,12,163,759
"Agric., ganadería, caza y silvicultura (024)",6159,,1,,,,4832,,2,1324,,,
"Explotación de minas y canteras (026)",4,,,,,,,2,,2,,,
"Industrias manufactureras (027)",66,,,1,,3,,60,,2,,,
"Suministro de electricidad, gas y agua (028)",4,,,,,,,2,2,,,,
"Construcción (029)",70,,,1,,,,4,41,24,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",146,,4,,,102,,11,,29,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",2,,,,,,,2,,,,,
"Comercio al por mayor (032)",7,,,,,7,,,,,,,
"Comercio al por menor (033)",137,,4,,,95,,9,,29,,,
"Hoteles y restaurantes (034)",2,,,,,,,,,2,,,
"Trans., almac. y comunicaciones (035)",70,,,,1,,,,50,19,,,
"Activid.inmobil., empres. y alquileres (037)",15,,4,7,2,,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",49,6,3,1,18,,,,,9,12,,
"Enseñanza (039)",124,,114,1,4,,,,,5,,,
"Servicios sociales y de salud (040)",18,,7,6,5,,,,,,,,
"Otras activ. serv.comun.soc y personales (041)",10,,1,6,,1,,,,2,,,
"Hogares privados con servicio doméstico (042)",5,,,,,,,,,5,,,
"Actividad economica no especificada (044)",165,,,1,,,,,,1,,163,
"Desocupado (045)",759,,,,,,,,,,,,759
"Mujeres (046)",1013,2,206,12,18,133,59,4,,214,1,223,141
"Agric., ganadería, caza y silvicultura (047)",159,,,,,,59,,,100,,,
"Industrias manufactureras (050)",7,,,,,3,,4,,,,,
"Construcción (052)",1,,,,,,,,,1,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",97,,,,,83,,,,14,,,
"Comercio al por mayor (055)",5,,,,,4,,,,1,,,
"Comercio al por menor (056)",92,,,,,79,,,,13,,,
"Hoteles y restaurantes (057)",55,,,,,43,,,,12,,,
"Trans., almac. y comunicaciones (058)",8,,,,5,,,,,3,,,
"Activid.inmobil., empres. y alquileres (060)",5,,,,3,,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",9,2,,,2,,,,,4,1,,
"Enseñanza (062)",197,,193,1,2,,,,,1,,,
"Servicios sociales y de salud (063)",29,,12,11,6,,,,,,,,
"Otras activ. serv.comun.soc y personales (064)",23,,1,,,4,,,,18,,,
"Hogares privados con servicio doméstico (065)",59,,,,,,,,,59,,,
"Actividad economica no especificada (067)",223,,,,,,,,,,,223,
"Desocupado (068)",141,,,,,,,,,,,,141
,,,,,,,,,,,,,
"URBANA (069)",1330,5,133,19,34,175,345,53,46,275,13,44,188
"Agric., ganadería, caza y silvicultura (070)",492,,1,,,,345,,,146,,,
"Explotación de minas y canteras (072)",1,,,,,,,1,,,,,
"Industrias manufactureras (073)",46,,,1,,6,,37,,2,,,
"Suministro de electricidad, gas y agua (074)",3,,,,,,,2,1,,,,
"Construcción (075)",25,,,,,,,4,12,9,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",177,,2,,,135,,9,,31,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",1,,,,,,,1,,,,,
"Comercio al por mayor (078)",10,,,,,10,,,,,,,
"Comercio al por menor (079)",166,,2,,,125,,8,,31,,,
"Hoteles y restaurantes (080)",41,,,,,29,,,,12,,,
"Trans., almac. y comunicaciones (081)",52,,,,5,,,,33,14,,,
"Activid.inmobil., empres. y alquileres (083)",12,,2,3,4,,,,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",43,5,1,1,13,,,,,10,13,,
"Enseñanza (085)",119,,110,1,4,,,,,4,,,
"Servicios sociales y de salud (086)",33,,15,10,8,,,,,,,,
"Otras activ. serv.comun.soc y personales (087)",27,,2,3,,5,,,,17,,,
"Hogares privados con servicio doméstico (088)",26,,,,,,,,,26,,,
"Actividad economica no especificada (090)",45,,,,,,,,,1,,44,
"Desocupado (091)",188,,,,,,,,,,,,188
"Hombres (092)",983,4,67,12,19,75,337,51,46,193,12,15,152
"Agric., ganadería, caza y silvicultura (093)",472,,1,,,,337,,,134,,,
"Explotación de minas y canteras (095)",1,,,,,,,1,,,,,
"Industrias manufactureras (096)",41,,,1,,3,,35,,2,,,
"Suministro de electricidad, gas y agua (097)",3,,,,,,,2,1,,,,
"Construcción (098)",25,,,,,,,4,12,9,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",103,,2,,,71,,9,,21,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",1,,,,,,,1,,,,,
"Comercio al por mayor (101)",6,,,,,6,,,,,,,
"Comercio al por menor (102)",96,,2,,,65,,8,,21,,,
"Hoteles y restaurantes (103)",1,,,,,,,,,1,,,
"Trans., almac. y comunicaciones (104)",45,,,,1,,,,33,11,,,
"Activid.inmobil., empres. y alquileres (106)",8,,2,3,2,,,,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",36,4,1,1,12,,,,,6,12,,
"Enseñanza (108)",60,,54,,2,,,,,4,,,
"Servicios sociales y de salud (109)",12,,6,4,2,,,,,,,,
"Otras activ. serv.comun.soc y personales (110)",7,,1,3,,1,,,,2,,,
"Hogares privados con servicio doméstico (111)",1,,,,,,,,,1,,,
"Actividad economica no especificada (113)",16,,,,,,,,,1,,15,
"Desocupado (114)",152,,,,,,,,,,,,152
"Mujeres (115)",347,1,66,7,15,100,8,2,,82,1,29,36
"Agric., ganadería, caza y silvicultura (116)",20,,,,,,8,,,12,,,
"Industrias manufactureras (119)",5,,,,,3,,2,,,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",74,,,,,64,,,,10,,,
"Comercio al por mayor (124)",4,,,,,4,,,,,,,
"Comercio al por menor (125)",70,,,,,60,,,,10,,,
"Hoteles y restaurantes (126)",40,,,,,29,,,,11,,,
"Trans., almac. y comunicaciones (127)",7,,,,4,,,,,3,,,
"Activid.inmobil., empres. y alquileres (129)",4,,,,2,,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",7,1,,,1,,,,,4,1,,
"Enseñanza (131)",59,,56,1,2,,,,,,,,
"Servicios sociales y de salud (132)",21,,9,6,6,,,,,,,,
"Otras activ. serv.comun.soc y personales (133)",20,,1,,,4,,,,15,,,
"Hogares privados con servicio doméstico (134)",25,,,,,,,,,25,,,
"Actividad economica no especificada (136)",29,,,,,,,,,,,29,
"Desocupado (137)",36,,,,,,,,,,,,36
,,,,,,,,,,,,,
"RURAL (138)",7349,3,207,17,14,64,4546,30,49,1365,,342,712
"Agric., ganadería, caza y silvicultura (139)",5826,,,,,,4546,,2,1278,,,
"Explotación de minas y canteras (141)",3,,,,,,,1,,2,,,
"Industrias manufactureras (142)",27,,,,,,,27,,,,,
"Suministro de electricidad, gas y agua (143)",1,,,,,,,,1,,,,
"Construcción (144)",46,,,1,,,,,29,16,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",66,,2,,,50,,2,,12,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",1,,,,,,,1,,,,,
"Comercio al por mayor (147)",2,,,,,1,,,,1,,,
"Comercio al por menor (148)",63,,2,,,49,,1,,11,,,
"Hoteles y restaurantes (149)",16,,,,,14,,,,2,,,
"Trans., almac. y comunicaciones (150)",26,,,,1,,,,17,8,,,
"Activid.inmobil., empres. y alquileres (152)",8,,2,4,1,,,,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",15,3,2,,7,,,,,3,,,
"Enseñanza (154)",202,,197,1,2,,,,,2,,,
"Servicios sociales y de salud (155)",14,,4,7,3,,,,,,,,
"Otras activ. serv.comun.soc y personales (156)",6,,,3,,,,,,3,,,
"Hogares privados con servicio doméstico (157)",38,,,,,,,,,38,,,
"Actividad economica no especificada (159)",343,,,1,,,,,,,,342,
"Desocupado (160)",712,,,,,,,,,,,,712
"Hombres (161)",6683,2,67,12,11,31,4495,28,49,1233,,148,607
"Agric., ganadería, caza y silvicultura (162)",5687,,,,,,4495,,2,1190,,,
"Explotación de minas y canteras (164)",3,,,,,,,1,,2,,,
"Industrias manufactureras (165)",25,,,,,,,25,,,,,
"Suministro de electricidad, gas y agua (166)",1,,,,,,,,1,,,,
"Construcción (167)",45,,,1,,,,,29,15,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (168)",43,,2,,,31,,2,,8,,,
"Venta, mant.y rep. veh.autom.y motoc. (169)",1,,,,,,,1,,,,,
"Comercio al por mayor (170)",1,,,,,1,,,,,,,
"Comercio al por menor (171)",41,,2,,,30,,1,,8,,,
"Hoteles y restaurantes (172)",1,,,,,,,,,1,,,
"Trans., almac. y comunicaciones (173)",25,,,,,,,,17,8,,,
"Activid.inmobil., empres. y alquileres (175)",7,,2,4,,,,,,1,,,
