"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia POMABAMBA (000)",5891,4572,593,393,333
"Sin nivel (001)",1199,1120,55,17,7
"Educación inicial (002)",12,10,1,1,
"Primaria (003)",1870,1691,124,43,12
"Secundaria (004)",1232,1030,104,41,57
"Superior no univ. incompleta (005)",215,146,31,15,23
"Superior no univ. completa (006)",826,371,172,171,112
"Superior univ. incompleta (007)",129,61,24,16,28
"Superior univ. completa (008)",408,143,82,89,94
"De 06 a 14 años (010)",77,75,1,1,
"Sin nivel (011)",12,12,,,
"Primaria (013)",52,50,1,1,
"Secundaria (014)",13,13,,,
"De 15 a 29 años (020)",1704,1411,143,69,81
"Sin nivel (021)",152,139,9,4,
"Educación inicial (022)",1,1,,,
"Primaria (023)",506,460,32,14,
"Secundaria (024)",678,594,49,15,20
"Superior no univ. incompleta (025)",104,89,7,3,5
"Superior no univ. completa (026)",170,89,28,26,27
"Superior univ. incompleta (027)",27,15,6,,6
"Superior univ. completa (028)",66,24,12,7,23
"De 30 a 44 años (030)",2161,1513,271,228,149
"Sin nivel (031)",305,278,15,7,5
"Educación inicial (032)",11,9,1,1,
"Primaria (033)",682,610,48,15,9
"Secundaria (034)",341,274,34,18,15
"Superior no univ. incompleta (035)",80,46,18,10,6
"Superior no univ. completa (036)",460,198,95,115,52
"Superior univ. incompleta (037)",64,25,13,12,14
"Superior univ. completa (038)",218,73,47,50,48
"De 45 a 64 años (040)",1498,1145,163,92,98
"Sin nivel (041)",466,434,25,5,2
"Primaria (043)",494,441,37,13,3
"Secundaria (044)",175,127,20,7,21
"Superior no univ. incompleta (045)",31,11,6,2,12
"Superior no univ. completa (046)",187,77,49,29,32
"Superior univ. incompleta (047)",34,19,4,4,7
"Superior univ. completa (048)",111,36,22,32,21
"De 65 y más años (050)",451,428,15,3,5
"Sin nivel (051)",264,257,6,1,
"Primaria (053)",136,130,6,,
"Secundaria (054)",25,22,1,1,1
"Superior no univ. completa (056)",9,7,,1,1
"Superior univ. incompleta (057)",4,2,1,,1
"Superior univ. completa (058)",13,10,1,,2
,,,,,
"URBANA (060)",1953,1144,288,260,261
"Sin nivel (061)",113,107,4,1,1
"Primaria (063)",296,261,19,7,9
"Secundaria (064)",424,326,47,18,33
