"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia VILCAS HUAMAN (000)",23600,363,8018,4905,4021,3504,2789
"Hombres (001)",11504,190,4034,2495,2006,1572,1207
"Mujeres (002)",12096,173,3984,2410,2015,1932,1582
"Viviendas particulares (003)",23154,362,8000,4779,3834,3418,2761
"Hombres (004)",11212,189,4023,2421,1887,1502,1190
"Mujeres (005)",11942,173,3977,2358,1947,1916,1571
"Viviendas colectivas (006)",86,1,3,33,36,10,3
"Hombres (007)",61,1,,21,27,10,2
"Mujeres (008)",25,,3,12,9,,1
"Otro tipo (009)",360,,15,93,151,76,25
"Hombres (010)",231,,11,53,92,60,15
"Mujeres (011)",129,,4,40,59,16,10
,,,,,,,
"URBANA (012)",7480,94,2302,1651,1459,1110,864
"Hombres (013)",3663,44,1130,831,738,544,376
"Mujeres (014)",3817,50,1172,820,721,566,488
"Viviendas particulares (015)",7056,93,2284,1536,1279,1028,836
"Hombres (016)",3392,43,1119,767,626,478,359
"Mujeres (017)",3664,50,1165,769,653,550,477
"Viviendas colectivas (018)",66,1,3,23,30,6,3
"Hombres (019)",42,1,,12,21,6,2
"Mujeres (020)",24,,3,11,9,,1
"Otro tipo (021)",358,,15,92,150,76,25
"Hombres (022)",229,,11,52,91,60,15
"Mujeres (023)",129,,4,40,59,16,10
,,,,,,,
"RURAL (024)",16120,269,5716,3254,2562,2394,1925
"Hombres (025)",7841,146,2904,1664,1268,1028,831
"Mujeres (026)",8279,123,2812,1590,1294,1366,1094
"Viviendas particulares (027)",16098,269,5716,3243,2555,2390,1925
"Hombres (028)",7820,146,2904,1654,1261,1024,831
"Mujeres (029)",8278,123,2812,1589,1294,1366,1094
"Viviendas colectivas (030)",20,,,10,6,4,
"Hombres (031)",19,,,9,6,4,
"Mujeres (032)",1,,,1,,,
"Otro tipo (033)",2,,,1,1,,
"Hombres (034)",2,,,1,1,,
