"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANCABAMBA (000)",29857,192,607,1716,3191,6277,11904,5970
"De 12 a 14 años (001)",67,,,,,,6,61
"De 15 a 19 años (002)",853,,,,,,554,299
"De 20 a 24 años (003)",3118,,,,,3,2058,1057
"De 25 a 29 años (004)",3452,,,,,95,2501,856
"De 30 a 34 años (005)",3411,,,,1,426,2372,612
"De 35 a 39 años (006)",3370,,,,20,901,2007,442
"De 40 a 44 años (007)",3048,,,,109,1115,1439,385
"De 45 a 49 años (008)",2742,,,3,243,1383,809,304
"De 50 y más años (009)",9796,192,607,1713,2818,2354,158,1954
"PEA (010)",5441,6,40,176,522,1317,2091,1289
"De 12 a 14 años (011)",7,,,,,,,7
"De 15 a 19 años (012)",129,,,,,,73,56
"De 20 a 24 años (013)",529,,,,,2,302,225
"De 25 a 29 años (014)",670,,,,,27,417,226
"De 30 a 34 años (015)",779,,,,1,101,492,185
"De 35 a 39 años (016)",713,,,,6,224,358,125
"De 40 a 44 años (017)",703,,,,21,292,278,112
"De 45 a 49 años (018)",602,,,1,63,313,141,84
"De 50 y más años (019)",1309,6,40,175,431,358,30,269
"Ocupada (020)",5223,6,38,169,513,1286,2005,1206
"De 12 a 14 años (021)",5,,,,,,,5
"De 15 a 19 años (022)",115,,,,,,65,50
"De 20 a 24 años (023)",483,,,,,2,278,203
"De 25 a 29 años (024)",621,,,,,26,392,203
"De 30 a 34 años (025)",748,,,,1,98,477,172
"De 35 a 39 años (026)",695,,,,6,219,351,119
"De 40 a 44 años (027)",685,,,,20,283,273,109
"De 45 a 49 años (028)",595,,,1,63,309,139,83
"De 50 y más años (029)",1276,6,38,168,423,349,30,262
"Desocupada (030)",218,,2,7,9,31,86,83
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",14,,,,,,8,6
"De 20 a 24 años (033)",46,,,,,,24,22
"De 25 a 29 años (034)",49,,,,,1,25,23
"De 30 a 34 años (035)",31,,,,,3,15,13
"De 35 a 39 años (036)",18,,,,,5,7,6
"De 40 a 44 años (037)",18,,,,1,9,5,3
"De 45 a 49 años (038)",7,,,,,4,2,1
"De 50 y más años (039)",33,,2,7,8,9,,7
"No PEA (040)",24416,186,567,1540,2669,4960,9813,4681
"De 12 a 14 años (041)",60,,,,,,6,54
"De 15 a 19 años (042)",724,,,,,,481,243
"De 20 a 24 años (043)",2589,,,,,1,1756,832
"De 25 a 29 años (044)",2782,,,,,68,2084,630
"De 30 a 34 años (045)",2632,,,,,325,1880,427
"De 35 a 39 años (046)",2657,,,,14,677,1649,317
