"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PISCO (000)",125879,8143,30620,8586,79074
"Menos de 1 año (001)",2394,368,541,61,1428
"De 1 a 14 años (002)",35189,5307,8427,1354,20168
"De 15 a 29 años (003)",35039,1356,5816,2605,25393
"De 30 a 44 años (004)",26632,565,7117,2341,16797
"De 45 a 64 años (005)",19404,337,5633,1696,11868
"De 65 y mas años (006)",7221,210,3086,529,3420
"Hombres (008)",64083,4006,15801,5544,39123
"Menos de 1 año (009)",1195,181,273,29,716
"De 1 a 14 años (010)",18082,2717,4367,699,10339
"De 15 a 29 años (011)",18010,589,3006,1876,12629
"De 30 a 44 años (012)",13185,226,3547,1543,8011
"De 45 a 64 años (013)",9861,175,2903,1075,5807
"De 65 y mas años (014)",3750,118,1705,322,1621
"Mujeres (016)",61796,4137,14819,3042,39951
"Menos de 1 año (017)",1199,187,268,32,712
"De 1 a 14 años (018)",17107,2590,4060,655,9829
"De 15 a 29 años (019)",17029,767,2810,729,12764
"De 30 a 44 años (020)",13447,339,3570,798,8786
"De 45 a 64 años (021)",9543,162,2730,621,6061
"De 65 y mas años (022)",3471,92,1381,207,1799
,,,,,
"URBANA (024)",110308,6812,29140,7852,67001
"Menos de 1 año (025)",2088,298,519,56,1219
"De 1 a 14 años (026)",30797,4302,8145,1281,17134
"De 15 a 29 años (027)",30567,1152,5554,2264,21711
"De 30 a 44 años (028)",23626,547,6818,2202,14230
"De 45 a 64 años (029)",17135,321,5364,1586,9986
"De 65 y mas años (030)",6095,192,2740,463,2721
"Hombres (032)",55747,3290,14934,5009,32863
"Menos de 1 año (033)",1042,147,264,25,610
"De 1 a 14 años (034)",15806,2176,4221,664,8785
"De 15 a 29 años (035)",15539,477,2849,1587,10701
"De 30 a 44 años (036)",11583,220,3366,1446,6676
"De 45 a 64 años (037)",8637,164,2738,1001,4826
"De 65 y mas años (038)",3140,106,1496,286,1265
"Mujeres (040)",54561,3522,14206,2843,34138
"Menos de 1 año (041)",1046,151,255,31,609
"De 1 a 14 años (042)",14991,2126,3924,617,8349
"De 15 a 29 años (043)",15028,675,2705,677,11010
"De 30 a 44 años (044)",12043,327,3452,756,7554
"De 45 a 64 años (045)",8498,157,2626,585,5160
"De 65 y mas años (046)",2955,86,1244,177,1456
,,,,,
"RURAL (048)",15571,1331,1480,734,12073
"Menos de 1 año (049)",306,70,22,5,209
"De 1 a 14 años (050)",4392,1005,282,73,3034
"De 15 a 29 años (051)",4472,204,262,341,3682
"De 30 a 44 años (052)",3006,18,299,139,2567
"De 45 a 64 años (053)",2269,16,269,110,1882
"De 65 y mas años (054)",1126,18,346,66,699
"Hombres (056)",8336,716,867,535,6260
"Menos de 1 año (057)",153,34,9,4,106
"De 1 a 14 años (058)",2276,541,146,35,1554
"De 15 a 29 años (059)",2471,112,157,289,1928
"De 30 a 44 años (060)",1602,6,181,97,1335
"De 45 a 64 años (061)",1224,11,165,74,981
"De 65 y mas años (062)",610,12,209,36,356
"Mujeres (064)",7235,615,613,199,5813
"Menos de 1 año (065)",153,36,13,1,103
"De 1 a 14 años (066)",2116,464,136,38,1480
"De 15 a 29 años (067)",2001,92,105,52,1754
"De 30 a 44 años (068)",1404,12,118,42,1232
"De 45 a 64 años (069)",1045,5,104,36,901
"De 65 y mas años (070)",516,6,137,30,343
