"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PADRE ABAD (000)",11998,5208,6790
"Red pública dentro de la vivienda (001)",1430,1284,146
"Red pública fuera de la vivienda (002)",440,400,40
"Pilón de uso público (003)",163,98,65
"Camión - cisterna u otro similar (004)",11,3,8
"Pozo (005)",3506,1331,2175
"Río, acequia, manatial o similar (006)",5925,1764,4161
"Vecino (007)",303,194,109
"Otro (008)",220,134,86
,,,
"URBANA (010)",5647,4575,1072
"Red pública dentro de la vivienda (011)",1320,1234,86
"Red pública fuera de la vivienda (012)",434,398,36
"Pilón de uso público (013)",132,91,41
"Camión - cisterna u otro similar (014)",6,1,5
"Pozo (015)",1625,1172,453
"Río, acequia, manatial o similar (016)",1689,1362,327
"Vecino (017)",265,186,79
"Otro (018)",176,131,45
,,,
"RURAL (020)",6351,633,5718
"Red pública dentro de la vivienda (021)",110,50,60
"Red pública fuera de la vivienda (022)",6,2,4
"Pilón de uso público (023)",31,7,24
"Camión - cisterna u otro similar (024)",5,2,3
"Pozo (025)",1881,159,1722
"Río, acequia, manatial o similar (026)",4236,402,3834
"Vecino (027)",38,8,30
"Otro (028)",44,3,41
