"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SUCRE (000)",5504,905,1896,1576,1127
"Asiste actualmente (001)",4291,588,1816,1462,425
"No asiste (002)",1213,317,80,114,702
"Hombres (004)",2804,433,1015,801,555
"Asiste actualmente (005)",2261,289,963,758,251
"No asiste (006)",543,144,52,43,304
"Mujeres (008)",2700,472,881,775,572
"Asiste actualmente (009)",2030,299,853,704,174
"No asiste (010)",670,173,28,71,398
,,,,,
"URBANA (012)",3393,562,1180,1004,647
"Asiste actualmente (013)",2765,370,1144,958,293
"No asiste (014)",628,192,36,46,354
"Hombres (016)",1730,274,628,509,319
"Asiste actualmente (017)",1448,177,604,490,177
"No asiste (018)",282,97,24,19,142
"Mujeres (020)",1663,288,552,495,328
"Asiste actualmente (021)",1317,193,540,468,116
"No asiste (022)",346,95,12,27,212
,,,,,
"RURAL (024)",2111,343,716,572,480
"Asiste actualmente (025)",1526,218,672,504,132
"No asiste (026)",585,125,44,68,348
"Hombres (028)",1074,159,387,292,236
"Asiste actualmente (029)",813,112,359,268,74
"No asiste (030)",261,47,28,24,162
"Mujeres (032)",1037,184,329,280,244
"Asiste actualmente (033)",713,106,313,236,58
"No asiste (034)",324,78,16,44,186
