"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ABANCAY (000)",25439,18262,7177
"Red pública de desague dentro de la vivienda (001)",8567,8370,197
"Red pública de desague fuera de la vivienda (002)",4877,4672,205
"Pozo séptico (003)",872,615,257
"Pozo ciego o negro / letrina (004)",5605,2840,2765
"Río, acequia o canal (005)",184,100,84
"No tiene (006)",5334,1665,3669
,,,
"URBANA (008)",15943,14766,1177
"Red pública de desague dentro de la vivienda (009)",8474,8290,184
"Red pública de desague fuera de la vivienda (010)",4856,4652,204
"Pozo séptico (011)",400,319,81
"Pozo ciego o negro / letrina (012)",890,681,209
"Río, acequia o canal (013)",72,53,19
"No tiene (014)",1251,771,480
,,,
"RURAL (016)",9496,3496,6000
"Red pública de desague dentro de la vivienda (017)",93,80,13
"Red pública de desague fuera de la vivienda (018)",21,20,1
"Pozo séptico (019)",472,296,176
"Pozo ciego o negro / letrina (020)",4715,2159,2556
"Río, acequia o canal (021)",112,47,65
"No tiene (022)",4083,894,3189
