"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LEONCIO PRADO (000)",44205,36952,2788,1865,2600
"Agric., ganadería, caza y silvicultura (001)",20530,19702,653,147,28
"Pesca (002)",47,46,,1,
"Explotación de minas y canteras (003)",65,30,19,6,10
"Industrias manufactureras (004)",1745,1274,280,164,27
"Suministro de electricidad, gas y agua (005)",67,13,6,43,5
"Construcción (006)",1607,1116,218,183,90
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6927,6433,376,109,9
"Venta, mant.y rep. veh.autom y motoc. (008)",694,602,77,11,4
"Comercio al por mayor (009)",321,246,45,25,5
"Comercio al por menor (010)",5912,5585,254,73,
"Hoteles y restaurantes (011)",2176,1953,185,30,8
"Trans., almac. y comunicaciones (012)",2910,2541,174,136,59
"Intermediación financiera (013)",95,24,25,32,14
"Activid.inmobil., empres. y alquileres (014)",963,540,155,157,111
"Admin.pub. y defensa; p. segur soc.afil (015)",1190,,,,1190
"Enseñanza (016)",1739,280,383,656,420
"Servicios sociales y de salud (017)",718,162,28,17,511
"Otras activ. serv.comun.soc y personales (018)",957,740,135,61,21
"Hogares privados con servicio doméstico (019)",1096,1096,,,
"Organiz. y organos extraterritoriales (020)",2,,1,,1
"Actividad economica no especificada (021)",1371,1002,150,123,96
"Hombres (022)",31965,27066,1914,1181,1804
"Agric., ganadería, caza y silvicultura (023)",17932,17296,509,105,22
"Pesca (024)",47,46,,1,
"Explotación de minas y canteras (025)",60,28,19,4,9
"Industrias manufactureras (026)",1230,913,201,95,21
"Suministro de electricidad, gas y agua (027)",58,11,6,38,3
"Construcción (028)",1554,1104,208,171,71
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3501,3174,244,76,7
"Venta, mant.y rep. veh.autom y motoc. (030)",618,538,67,10,3
"Comercio al por mayor (031)",192,133,36,19,4
"Comercio al por menor (032)",2691,2503,141,47,
"Hoteles y restaurantes (033)",558,461,79,14,4
"Trans., almac. y comunicaciones (034)",2736,2402,157,125,52
"Intermediación financiera (035)",56,19,15,12,10
"Activid.inmobil., empres. y alquileres (036)",713,397,116,111,89
"Admin.pub. y defensa; p. segur soc.afil (037)",984,,,,984
"Enseñanza (038)",878,124,183,315,256
"Servicios sociales y de salud (039)",283,61,10,8,204
