"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ANTA",,,,,,,,,
"Viviendas particulares (001)",7655,1381,644,240,1184,86,18,32,4070
"Ocupantes presentes (002)",30837,5602,2671,955,4741,380,65,128,16295
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",7589,1378,637,232,1179,86,18,32,4027
"Ocupantes presentes (005)",30541,5584,2647,932,4711,380,65,128,16094
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",3,1,,,2,,,,
"Ocupantes presentes (011)",10,5,,,5,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,,,2,2,,,,1
"Ocupantes presentes (014)",29,,,5,18,,,,6
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",56,2,7,5,1,,,,41
"Ocupantes presentes (017)",255,13,24,17,7,,,,194
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,,1,,,,,1
"Ocupantes presentes (023)",2,,,1,,,,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3763,799,440,173,795,47,15,23,1471
"Ocupantes presentes (029)",14783,3277,1855,680,3139,224,54,102,5452
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3754,798,440,170,791,47,15,23,1470
"Ocupantes presentes (032)",14743,3272,1855,674,3116,224,54,102,5446
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",3,1,,,2,,,,
"Ocupantes presentes (038)",10,5,,,5,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,,,2,2,,,,1
"Ocupantes presentes (041)",29,,,5,18,,,,6
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,1,,,,,
"Ocupantes presentes (050)",1,,,1,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3892,582,204,67,389,39,3,9,2599
"Ocupantes presentes (056)",16054,2325,816,275,1602,156,11,26,10843
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3835,580,197,62,388,39,3,9,2557
"Ocupantes presentes (059)",15798,2312,792,258,1595,156,11,26,10648
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",56,2,7,5,1,,,,41
"Ocupantes presentes (071)",255,13,24,17,7,,,,194
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
