"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LA UNION (000)",15442,282,5362,2757,2939,2517,1585
"Jefe o Jefa (001)",4710,,20,619,1520,1514,1037
"Esposa(o) / compañera(o) (002)",2602,,7,484,1010,783,318
"Hijo(a) / hijastro(a) (003)",6136,218,4431,1222,207,56,2
"Yerno / nuera (004)",148,,1,104,35,7,1
"Nieto(a) (005)",572,40,474,56,2,,
"Padres / suegros (006)",199,,,,4,41,154
"Otro(a) pariente (007)",742,22,327,173,81,81,58
"Trabajador(a) del hogar (008)",34,,11,11,8,3,1
"Pensionistas (009)",4,,1,,,3,
"Otro(a) no pariente (010)",295,2,90,88,72,29,14
"Hombres (011)",7678,156,2721,1425,1416,1262,698
"Jefe o Jefa (012)",3215,,8,411,1104,1095,597
"Esposa(o) / compañera(o) (013)",230,,3,50,88,59,30
"Hijo(a) / hijastro(a) (014)",3242,122,2259,729,109,22,1
"Yerno / nuera (015)",66,,1,37,22,5,1
"Nieto(a) (016)",280,22,219,37,2,,
"Padres / suegros (017)",48,,,,2,9,37
"Otro(a) pariente (018)",395,12,177,97,42,44,23
"Trabajador(a) del hogar (019)",14,,6,3,2,2,1
"Pensionistas (020)",4,,1,,,3,
"Otro(a) no pariente (021)",184,,47,61,45,23,8
"Mujeres (022)",7764,126,2641,1332,1523,1255,887
"Jefe o Jefa (023)",1495,,12,208,416,419,440
"Esposa(o) / compañera(o) (024)",2372,,4,434,922,724,288
"Hijo(a) / hijastro(a) (025)",2894,96,2172,493,98,34,1
"Yerno / nuera (026)",82,,,67,13,2,
"Nieto(a) (027)",292,18,255,19,,,
"Padres / suegros (028)",151,,,,2,32,117
"Otro(a) pariente (029)",347,10,150,76,39,37,35
"Trabajador(a) del hogar (030)",20,,5,8,6,1,
"Otro(a) no pariente (032)",111,2,43,27,27,6,6
,,,,,,,
"URBANA (033)",7362,129,2486,1424,1469,1155,699
"Jefe o Jefa (034)",2309,,15,331,788,725,450
"Esposa(o) / compañera(o) (035)",1181,,4,217,484,338,138
"Hijo(a) / hijastro(a) (036)",2905,97,2050,640,88,28,2
"Yerno / nuera (037)",57,,,42,12,3,
"Nieto(a) (038)",249,22,203,24,,,
"Padres / suegros (039)",88,,,,2,13,73
"Otro(a) pariente (040)",353,8,154,97,35,32,27
"Trabajador(a) del hogar (041)",22,,9,10,3,,
"Pensionistas (042)",3,,1,,,2,
"Otro(a) no pariente (043)",195,2,50,63,57,14,9
"Hombres (044)",3625,67,1271,731,692,570,294
"Jefe o Jefa (045)",1509,,6,201,548,508,246
"Esposa(o) / compañera(o) (046)",102,,2,28,38,19,15
"Hijo(a) / hijastro(a) (047)",1539,49,1054,377,46,12,1
"Yerno / nuera (048)",22,,,14,6,2,
"Nieto(a) (049)",124,14,97,13,,,
"Padres / suegros (050)",18,,,,1,2,15
"Otro(a) pariente (051)",179,4,76,53,20,14,12
"Trabajador(a) del hogar (052)",10,,6,3,1,,
"Pensionistas (053)",3,,1,,,2,
"Otro(a) no pariente (054)",119,,29,42,32,11,5
"Mujeres (055)",3737,62,1215,693,777,585,405
"Jefe o Jefa (056)",800,,9,130,240,217,204
"Esposa(o) / compañera(o) (057)",1079,,2,189,446,319,123
"Hijo(a) / hijastro(a) (058)",1366,48,996,263,42,16,1
"Yerno / nuera (059)",35,,,28,6,1,
"Nieto(a) (060)",125,8,106,11,,,
"Padres / suegros (061)",70,,,,1,11,58
"Otro(a) pariente (062)",174,4,78,44,15,18,15
"Trabajador(a) del hogar (063)",12,,3,7,2,,
"Otro(a) no pariente (065)",76,2,21,21,25,3,4
,,,,,,,
"RURAL (066)",8080,153,2876,1333,1470,1362,886
"Jefe o Jefa (067)",2401,,5,288,732,789,587
"Esposa(o) / compañera(o) (068)",1421,,3,267,526,445,180
"Hijo(a) / hijastro(a) (069)",3231,121,2381,582,119,28,
"Yerno / nuera (070)",91,,1,62,23,4,1
"Nieto(a) (071)",323,18,271,32,2,,
"Padres / suegros (072)",111,,,,2,28,81
"Otro(a) pariente (073)",389,14,173,76,46,49,31
"Trabajador(a) del hogar (074)",12,,2,1,5,3,1
"Pensionistas (075)",1,,,,,1,
"Otro(a) no pariente (076)",100,,40,25,15,15,5
"Hombres (077)",4053,89,1450,694,724,692,404
"Jefe o Jefa (078)",1706,,2,210,556,587,351
"Esposa(o) / compañera(o) (079)",128,,1,22,50,40,15
"Hijo(a) / hijastro(a) (080)",1703,73,1205,352,63,10,
"Yerno / nuera (081)",44,,1,23,16,3,1
"Nieto(a) (082)",156,8,122,24,2,,
"Padres / suegros (083)",30,,,,1,7,22
"Otro(a) pariente (084)",216,8,101,44,22,30,11
"Trabajador(a) del hogar (085)",4,,,,1,2,1
"Pensionistas (086)",1,,,,,1,
"Otro(a) no pariente (087)",65,,18,19,13,12,3
"Mujeres (088)",4027,64,1426,639,746,670,482
"Jefe o Jefa (089)",695,,3,78,176,202,236
"Esposa(o) / compañera(o) (090)",1293,,2,245,476,405,165
"Hijo(a) / hijastro(a) (091)",1528,48,1176,230,56,18,
"Yerno / nuera (092)",47,,,39,7,1,
"Nieto(a) (093)",167,10,149,8,,,
"Padres / suegros (094)",81,,,,1,21,59
"Otro(a) pariente (095)",173,6,72,32,24,19,20
"Trabajador(a) del hogar (096)",8,,2,1,4,1,
"Otro(a) no pariente (098)",35,,22,6,2,3,2
