"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PACASMAYO (000)",913,913,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",133,133,
"Casa pensión (003)",115,115,
"Hospital, clinica (004)",45,45,
"Cárcel, centro de readaptación social (005)",98,98,
"Otro (008)",352,352,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",170,170,
