"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AMBO (000)",13643,180,5705,4657,1239,441,194,72,14,,1141
"Sin Nivel (001)",4715,72,2070,1583,390,173,67,43,4,,313
"Educación Inicial (002)",12,,6,2,1,,1,,,,2
"Primaria (003)",5996,92,2721,2026,501,136,80,25,9,,406
"Secundaria (004)",2053,14,784,746,178,63,24,2,1,,241
"Sup. no Univ. Incompleta (005)",200,2,39,75,32,9,4,1,,,38
"Sup. no Univ. Completa (006)",291,,32,109,65,21,6,,,,58
"Sup. Univ. Incompleta (007)",123,,31,40,14,8,,1,,,29
"Sup. Univ. Completa (008)",253,,22,76,58,31,12,,,,54
,,,,,,,,,,,
"URBANA (010)",4760,58,1792,1644,525,187,95,36,8,,415
"Sin Nivel (011)",1062,16,438,351,105,41,22,17,3,,69
"Educación Inicial (012)",3,,1,1,,,,,,,1
"Primaria (013)",1857,28,812,624,183,48,38,17,4,,103
"Secundaria (014)",1155,12,442,422,106,44,17,1,1,,110
"Sup. no Univ. Incompleta (015)",145,2,27,60,23,6,3,,,,24
"Sup. no Univ. Completa (016)",226,,27,91,48,17,5,,,,38
"Sup. Univ. Incompleta (017)",93,,26,28,12,4,,1,,,22
"Sup. Univ. Completa (018)",219,,19,67,48,27,10,,,,48
,,,,,,,,,,,
"RURAL (020)",8883,122,3913,3013,714,254,99,36,6,,726
"Sin Nivel (021)",3653,56,1632,1232,285,132,45,26,1,,244
"Educación Inicial (022)",9,,5,1,1,,1,,,,1
"Primaria (023)",4139,64,1909,1402,318,88,42,8,5,,303
"Secundaria (024)",898,2,342,324,72,19,7,1,,,131
"Sup. no Univ. Incompleta (025)",55,,12,15,9,3,1,1,,,14
"Sup. no Univ. Completa (026)",65,,5,18,17,4,1,,,,20
"Sup. Univ. Incompleta (027)",30,,5,12,2,4,,,,,7
"Sup. Univ. Completa (028)",34,,3,9,10,4,2,,,,6
