"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",22556,1657,265,7558,7406,1845,1653,760,1412
"Hombres (001)",12094,392,138,3765,4416,1046,1005,472,860
"Mujeres (002)",10462,1265,127,3793,2990,799,648,288,552
"PEA (003)",11197,610,9,2875,4018,843,1272,431,1139
"Hombres (004)",7844,224,6,1977,3055,642,878,317,745
"Mujeres (005)",3353,386,3,898,963,201,394,114,394
"Ocupada (006)",10201,583,8,2707,3561,739,1139,385,1079
"Hombres (007)",7108,207,6,1844,2713,564,787,284,703
"Mujeres (008)",3093,376,2,863,848,175,352,101,376
"Desocupada (009)",996,27,1,168,457,104,133,46,60
"Hombres (010)",736,17,,133,342,78,91,33,42
"Mujeres (011)",260,10,1,35,115,26,42,13,18
"No PEA (012)",11359,1047,256,4683,3388,1002,381,329,273
"Hombres (013)",4250,168,132,1788,1361,404,127,155,115
"Mujeres (014)",7109,879,124,2895,2027,598,254,174,158
,,,,,,,,,
"URBANA (018)",9777,489,93,2972,3134,929,871,381,908
"Hombres (019)",5057,107,45,1413,1795,461,501,219,516
"Mujeres (020)",4720,382,48,1559,1339,468,370,162,392
"PEA (021)",4971,181,4,1133,1703,334,687,212,717
"Hombres (022)",3241,59,4,712,1228,218,438,140,442
"Mujeres (023)",1730,122,,421,475,116,249,72,275
"Ocupada (024)",4643,175,4,1092,1566,299,627,192,688
"Hombres (025)",3016,55,4,686,1125,197,396,129,424
"Mujeres (026)",1627,120,,406,441,102,231,63,264
"Desocupada (027)",328,6,,41,137,35,60,20,29
"Hombres (028)",225,4,,26,103,21,42,11,18
"Mujeres (029)",103,2,,15,34,14,18,9,11
"No PEA (030)",4806,308,89,1839,1431,595,184,169,191
"Hombres (031)",1816,48,41,701,567,243,63,79,74
"Mujeres (032)",2990,260,48,1138,864,352,121,90,117
,,,,,,,,,
"RURAL (036)",12779,1168,172,4586,4272,916,782,379,504
"Hombres (037)",7037,285,93,2352,2621,585,504,253,344
"Mujeres (038)",5742,883,79,2234,1651,331,278,126,160
"PEA (039)",6226,429,5,1742,2315,509,585,219,422
"Hombres (040)",4603,165,2,1265,1827,424,440,177,303
"Mujeres (041)",1623,264,3,477,488,85,145,42,119
"Ocupada (042)",5558,408,4,1615,1995,440,512,193,391
"Hombres (043)",4092,152,2,1158,1588,367,391,155,279
"Mujeres (044)",1466,256,2,457,407,73,121,38,112
"Desocupada (045)",668,21,1,127,320,69,73,26,31
"Hombres (046)",511,13,,107,239,57,49,22,24
"Mujeres (047)",157,8,1,20,81,12,24,4,7
"No PEA (048)",6553,739,167,2844,1957,407,197,160,82
"Hombres (049)",2434,120,91,1087,794,161,64,76,41
"Mujeres (050)",4119,619,76,1757,1163,246,133,84,41
