"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SAN MARCOS (000)",30307,28140,2167
"Hombres (001)",14968,14249,719
"Mujeres (002)",15339,13891,1448
"De 18 a 29 años (003)",9398,8695,703
"Hombres (004)",4679,4367,312
"Mujeres (005)",4719,4328,391
"De 30 a 44 años (006)",9525,9189,336
"Hombres (007)",4750,4644,106
"Mujeres (008)",4775,4545,230
"De 45 a 64 años (009)",7453,7004,449
"Hombres (010)",3663,3555,108
"Mujeres (011)",3790,3449,341
"De 65 y más años (012)",3931,3252,679
"Hombres (013)",1876,1683,193
"Mujeres (014)",2055,1569,486
,,,
"URBANA (015)",7635,7318,317
"Hombres (016)",3790,3685,105
"Mujeres (017)",3845,3633,212
"De 18 a 29 años (018)",2236,2127,109
"Hombres (019)",1113,1061,52
"Mujeres (020)",1123,1066,57
"De 30 a 44 años (021)",2606,2561,45
"Hombres (022)",1324,1312,12
"Mujeres (023)",1282,1249,33
"De 45 a 64 años (024)",1847,1796,51
"Hombres (025)",903,892,11
"Mujeres (026)",944,904,40
"De 65 y más años (027)",946,834,112
"Hombres (028)",450,420,30
"Mujeres (029)",496,414,82
,,,
"RURAL (030)",22672,20822,1850
"Hombres (031)",11178,10564,614
"Mujeres (032)",11494,10258,1236
"De 18 a 29 años (033)",7162,6568,594
"Hombres (034)",3566,3306,260
"Mujeres (035)",3596,3262,334
"De 30 a 44 años (036)",6919,6628,291
"Hombres (037)",3426,3332,94
"Mujeres (038)",3493,3296,197
"De 45 a 64 años (039)",5606,5208,398
"Hombres (040)",2760,2663,97
"Mujeres (041)",2846,2545,301
"De 65 y más años (042)",2985,2418,567
"Hombres (043)",1426,1263,163
"Mujeres (044)",1559,1155,404
