"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia JAUJA (000)",23099,19289,3810
"Red pública dentro de la vivienda (001)",10525,9571,954
"Red pública fuera de la vivienda (002)",1122,1035,87
"Pilón de uso público (003)",330,254,76
"Camión - cisterna u otro similar (004)",24,15,9
"Pozo (005)",659,405,254
"Río, acequia, manatial o similar (006)",9352,7331,2021
"Vecino (007)",759,436,323
"Otro (008)",328,242,86
,,,
"URBANA (010)",16048,14267,1781
"Red pública dentro de la vivienda (011)",8847,8176,671
"Red pública fuera de la vivienda (012)",934,873,61
"Pilón de uso público (013)",85,63,22
"Camión - cisterna u otro similar (014)",18,12,6
"Pozo (015)",150,114,36
"Río, acequia, manatial o similar (016)",5286,4592,694
"Vecino (017)",553,321,232
"Otro (018)",175,116,59
,,,
"RURAL (020)",7051,5022,2029
"Red pública dentro de la vivienda (021)",1678,1395,283
"Red pública fuera de la vivienda (022)",188,162,26
"Pilón de uso público (023)",245,191,54
"Camión - cisterna u otro similar (024)",6,3,3
"Pozo (025)",509,291,218
"Río, acequia, manatial o similar (026)",4066,2739,1327
"Vecino (027)",206,115,91
"Otro (028)",153,126,27
