"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ACOMAYO (000)",7633,5977,1034,321,301
"Sin nivel (001)",1139,1033,95,4,7
"Educación inicial (002)",13,12,1,,
"Primaria (003)",3407,2802,494,71,40
"Secundaria (004)",2172,1714,288,90,80
"Superior no univ. incompleta (005)",162,104,21,17,20
"Superior no univ. completa (006)",421,202,76,74,69
"Superior univ. incompleta (007)",77,37,10,7,23
"Superior univ. completa (008)",242,73,49,58,62
"De 06 a 14 años (010)",198,174,19,5,
"Sin nivel (011)",7,5,2,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",141,127,11,3,
"Secundaria (014)",48,40,6,2,
"De 15 a 29 años (020)",1863,1458,247,86,72
"Sin nivel (021)",61,54,7,,
"Educación inicial (022)",5,5,,,
"Primaria (023)",559,471,69,15,4
"Secundaria (024)",958,770,121,39,28
"Superior no univ. incompleta (025)",73,47,14,6,6
"Superior no univ. completa (026)",149,82,27,19,21
"Superior univ. incompleta (027)",20,11,2,,7
"Superior univ. completa (028)",38,18,7,7,6
"De 30 a 44 años (030)",2824,2123,409,140,152
"Sin nivel (031)",247,218,25,1,3
"Educación inicial (032)",6,5,1,,
"Primaria (033)",1348,1098,198,32,20
"Secundaria (034)",807,624,118,33,32
"Superior no univ. incompleta (035)",60,36,5,9,10
"Superior no univ. completa (036)",213,97,36,41,39
"Superior univ. incompleta (037)",25,12,4,2,7
"Superior univ. completa (038)",118,33,22,22,41
"De 45 a 64 años (040)",2014,1585,274,83,72
"Sin nivel (041)",474,432,38,2,2
"Primaria (043)",1027,832,166,15,14
"Secundaria (044)",318,247,35,16,20
"Superior no univ. incompleta (045)",28,20,2,2,4
"Superior no univ. completa (046)",55,21,11,14,9
"Superior univ. incompleta (047)",30,13,3,5,9
"Superior univ. completa (048)",82,20,19,29,14
"De 65 y más años (050)",734,637,85,7,5
"Sin nivel (051)",350,324,23,1,2
"Primaria (053)",332,274,50,6,2
"Secundaria (054)",41,33,8,,
"Superior no univ. incompleta (055)",1,1,,,
"Superior no univ. completa (056)",4,2,2,,
"Superior univ. incompleta (057)",2,1,1,,
"Superior univ. completa (058)",4,2,1,,1
,,,,,
"URBANA (060)",4486,3351,636,275,224
