"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PATAZ (000)",24578,23880,7202,2583,2535,2317,3615,2720,1780,1128,698,75689
"De 12 a 14 años (001)",3041,3027,3013,11,3,,,,,,14,17
"De 15 a 19 años (002)",3448,3391,2826,465,84,16,,,,,57,681
"De 20 a 24 años (003)",2706,2494,652,871,635,266,66,4,,,212,3245
"De 25 a 29 años (004)",2508,2360,211,476,649,547,412,56,9,,148,5604
"De 30 a 34 años (005)",2294,2218,93,257,424,422,690,283,47,2,76,7608
"De 35 a 39 años (006)",2206,2174,52,121,251,373,704,462,174,37,32,9680
"De 40 a 44 años (007)",1654,1624,55,81,116,153,459,436,225,99,30,8586
"De 45 a 49 años (008)",1417,1400,35,71,88,147,325,319,259,156,17,8088
"De 50 y más años (009)",5304,5192,265,230,285,393,959,1160,1066,834,112,32180
"PEA (010)",3575,3361,870,543,505,375,526,306,143,93,214,9191
"De 12 a 14 años (011)",95,93,92,1,,,,,,,2,1
"De 15 a 19 años (012)",394,388,342,41,4,1,,,,,6,52
"De 20 a 24 años (013)",471,408,192,142,54,19,1,,,,63,312
"De 25 a 29 años (014)",500,430,113,130,108,53,23,2,1,,70,624
"De 30 a 34 años (015)",465,436,49,105,119,63,72,25,3,,29,1022
"De 35 a 39 años (016)",404,390,14,45,83,93,107,36,11,1,14,1290
"De 40 a 44 años (017)",355,345,18,21,49,46,120,69,15,7,10,1423
"De 45 a 49 años (018)",284,281,9,23,35,43,86,45,29,11,3,1252
"De 50 y más años (019)",607,590,41,35,53,57,117,129,84,74,17,3215
"Ocupada (020)",3375,3172,736,518,496,369,518,301,143,91,203,9044
"De 12 a 14 años (021)",73,72,71,1,,,,,,,1,1
"De 15 a 19 años (022)",312,307,267,35,4,1,,,,,5,46
