"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAHUAMANU (000)",2312,2215,10,526,498,364,461,218,90,48,97,7342
"De 12 a 14 años (001)",6,3,,2,1,,,,,,3,4
"De 15 a 19 años (002)",112,97,2,82,13,,,,,,15,108
"De 20 a 24 años (003)",349,317,3,193,91,26,3,1,,,32,472
"De 25 a 29 años (004)",373,348,1,134,130,64,19,,,,25,666
"De 30 a 34 años (005)",329,322,1,59,107,74,71,9,1,,7,867
"De 35 a 39 años (006)",310,303,1,26,73,76,104,19,3,1,7,1016
"De 40 a 44 años (007)",241,239,1,11,36,48,98,33,10,2,2,974
"De 45 a 49 años (008)",168,164,1,5,15,28,63,36,11,5,4,786
"De 50 y más años (009)",424,422,,14,32,48,103,120,65,40,2,2449
"PEA (010)",1011,956,3,233,227,160,197,92,30,14,55,3037
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",31,28,1,25,2,,,,,,3,29
"De 20 a 24 años (013)",135,118,1,76,35,6,,,,,17,164
"De 25 a 29 años (014)",162,143,,68,47,20,8,,,,19,255
"De 30 a 34 años (015)",156,151,,30,64,30,25,2,,,5,365
"De 35 a 39 años (016)",147,141,1,14,39,36,44,7,,,6,436
"De 40 a 44 años (017)",143,142,,9,24,31,54,20,4,,1,549
"De 45 a 49 años (018)",85,82,,1,5,18,31,20,4,3,3,400
"De 50 y más años (019)",151,150,,10,10,19,35,43,22,11,1,837
"Ocupada (020)",990,936,2,229,218,155,197,92,29,14,54,2991
"De 12 a 14 años (021)",1,1,,,1,,,,,,,2
"De 15 a 19 años (022)",30,27,1,24,2,,,,,,3,28
"De 20 a 24 años (023)",132,116,,75,35,6,,,,,16,163
