"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAROCHIRI (000)",936,12,506,242,137,39
"Conviviente (001)",221,,94,97,28,2
"Separado(a) (002)",33,,9,14,6,4
"Casado(a) (003)",154,,17,52,66,19
"Viudo(a) (004)",26,,1,3,11,11
"Divorciado(a) (005)",4,,,2,2,
"Soltero(a) (006)",498,12,385,74,24,3
"Hombres (008)",629,4,326,162,107,30
"Conviviente (009)",146,,59,65,20,2
"Separado(a) (010)",20,,3,10,5,2
"Casado(a) (011)",117,,9,36,55,17
"Viudo(a) (012)",17,,1,2,8,6
"Divorciado(a) (013)",3,,,1,2,
"Soltero(a) (014)",326,4,254,48,17,3
"Mujeres (016)",307,8,180,80,30,9
"Conviviente (017)",75,,35,32,8,
"Separado(a) (018)",13,,6,4,1,2
"Casado(a) (019)",37,,8,16,11,2
"Viudo(a) (020)",9,,,1,3,5
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",172,8,131,26,7,
,,,,,,
"AREA URBANA (024)",718,8,382,184,110,34
"Conviviente (025)",167,,68,75,22,2
"Separado(a) (026)",23,,8,10,2,3
"Casado(a) (027)",127,,13,43,53,18
"Viudo(a) (028)",20,,1,,10,9
"Divorciado(a) (029)",3,,,2,1,
"Soltero(a) (030)",378,8,292,54,22,2
"Hombres (032)",476,2,240,121,86,27
"Conviviente (033)",111,,42,49,18,2
"Separado(a) (034)",14,,3,7,2,2
"Casado(a) (035)",95,,6,30,43,16
"Viudo(a) (036)",13,,1,,7,5
"Divorciado(a) (037)",2,,,1,1,
"Soltero(a) (038)",241,2,188,34,15,2
"Mujeres (040)",242,6,142,63,24,7
"Conviviente (041)",56,,26,26,4,
"Separado(a) (042)",9,,5,3,,1
"Casado(a) (043)",32,,7,13,10,2
"Viudo(a) (044)",7,,,,3,4
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",137,6,104,20,7,
,,,,,,
"AREA RURAL (048)",218,4,124,58,27,5
"Conviviente (049)",54,,26,22,6,
"Separado(a) (050)",10,,1,4,4,1
"Casado(a) (051)",27,,4,9,13,1
"Viudo(a) (052)",6,,,3,1,2
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",120,4,93,20,2,1
"Hombres (056)",153,2,86,41,21,3
"Conviviente (057)",35,,17,16,2,
"Separado(a) (058)",6,,,3,3,
"Casado(a) (059)",22,,3,6,12,1
"Viudo(a) (060)",4,,,2,1,1
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",85,2,66,14,2,1
"Mujeres (064)",65,2,38,17,6,2
"Conviviente (065)",19,,9,6,4,
"Separado(a) (066)",4,,1,1,1,1
"Casado(a) (067)",5,,1,3,1,
"Viudo(a) (068)",2,,,1,,1
"Soltero(a) (070)",35,2,27,6,,
