"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUALGAYOC (000)",79041,17038,1072,41954,14049,1297,2240,410,981
"Hombres (001)",38133,3726,538,22130,8780,744,1300,271,644
"Mujeres (002)",40908,13312,534,19824,5269,553,940,139,337
"PEA (003)",43401,11720,50,21666,6403,593,1876,212,881
"Hombres (004)",23835,3062,23,13431,4921,438,1201,156,603
"Mujeres (005)",19566,8658,27,8235,1482,155,675,56,278
"Ocupada (006)",42533,11660,50,21347,6100,560,1772,199,845
"Hombres (007)",23176,3028,23,13184,4677,413,1122,146,583
"Mujeres (008)",19357,8632,27,8163,1423,147,650,53,262
"Desocupada (009)",868,60,,319,303,33,104,13,36
"Hombres (010)",659,34,,247,244,25,79,10,20
"Mujeres (011)",209,26,,72,59,8,25,3,16
"No PEA (012)",35640,5318,1022,20288,7646,704,364,198,100
"Hombres (013)",14298,664,515,8699,3859,306,99,115,41
"Mujeres (014)",21342,4654,507,11589,3787,398,265,83,59
,,,,,,,,,
"URBANA (018)",18259,2155,182,6932,4981,943,1862,340,864
"Hombres (019)",9365,450,90,3599,2912,515,1025,219,555
"Mujeres (020)",8894,1705,92,3333,2069,428,837,121,309
"PEA (021)",8450,698,12,2588,2246,424,1532,173,777
"Hombres (022)",5803,288,9,1849,1765,307,939,125,521
"Mujeres (023)",2647,410,3,739,481,117,593,48,256
"Ocupada (024)",7776,652,12,2364,2017,394,1435,161,741
"Hombres (025)",5289,262,9,1670,1581,285,866,115,501
"Mujeres (026)",2487,390,3,694,436,109,569,46,240
"Desocupada (027)",674,46,,224,229,30,97,12,36
"Hombres (028)",514,26,,179,184,22,73,10,20
"Mujeres (029)",160,20,,45,45,8,24,2,16
"No PEA (030)",9809,1457,170,4344,2735,519,330,167,87
"Hombres (031)",3562,162,81,1750,1147,208,86,94,34
"Mujeres (032)",6247,1295,89,2594,1588,311,244,73,53
,,,,,,,,,
"RURAL (036)",60782,14883,890,35022,9068,354,378,70,117
"Hombres (037)",28768,3276,448,18531,5868,229,275,52,89
"Mujeres (038)",32014,11607,442,16491,3200,125,103,18,28
"PEA (039)",34951,11022,38,19078,4157,169,344,39,104
"Hombres (040)",18032,2774,14,11582,3156,131,262,31,82
"Mujeres (041)",16919,8248,24,7496,1001,38,82,8,22
"Ocupada (042)",34757,11008,38,18983,4083,166,337,38,104
"Hombres (043)",17887,2766,14,11514,3096,128,256,31,82
"Mujeres (044)",16870,8242,24,7469,987,38,81,7,22
"Desocupada (045)",194,14,,95,74,3,7,1,
"Hombres (046)",145,8,,68,60,3,6,,
"Mujeres (047)",49,6,,27,14,,1,1,
"No PEA (048)",25831,3861,852,15944,4911,185,34,31,13
"Hombres (049)",10736,502,434,6949,2712,98,13,21,7
"Mujeres (050)",15095,3359,418,8995,2199,87,21,10,6
