"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",9901,9330,58,1620,1442,1313,2132,1471,877,417,571,39405
"De 12 a 14 años (001)",76,20,1,17,2,,,,,,56,21
"De 15 a 19 años (002)",1004,875,11,602,186,60,16,,,,129,1218
"De 20 a 24 años (003)",1785,1655,11,499,522,353,233,37,,,130,3833
"De 25 a 29 años (004)",1683,1592,8,216,326,355,487,170,30,,91,5416
"De 30 a 34 años (005)",1236,1202,12,85,133,186,428,268,72,18,34,5343
"De 35 a 39 años (006)",1256,1231,5,59,95,130,349,349,181,63,25,6657
"De 40 a 44 años (007)",755,741,2,30,54,65,186,197,138,69,14,4355
"De 45 a 49 años (008)",672,659,2,31,47,61,141,147,152,78,13,4046
"De 50 y más años (009)",1434,1355,6,81,77,103,292,303,304,189,79,8516
"PEA (010)",4744,4466,26,756,699,646,1050,711,414,164,278,18637
"De 12 a 14 años (011)",19,6,,5,1,,,,,,13,7
"De 15 a 19 años (012)",403,347,6,226,80,27,8,,,,56,499
"De 20 a 24 años (013)",870,802,4,232,243,175,124,24,,,68,1925
"De 25 a 29 años (014)",840,782,4,111,152,149,249,100,17,,58,2748
"De 30 a 34 años (015)",608,591,4,51,70,93,187,133,43,10,17,2622
"De 35 a 39 años (016)",647,632,2,39,43,69,183,176,94,26,15,3361
"De 40 a 44 años (017)",410,400,2,20,40,52,94,92,69,31,10,2181
"De 45 a 49 años (018)",339,333,1,24,29,38,69,67,71,34,6,1917
"De 50 y más años (019)",608,573,3,48,41,43,136,119,120,63,35,3377
"Ocupada (020)",4711,4436,26,748,691,641,1046,709,413,162,275,18534
"De 12 a 14 años (021)",18,6,,5,1,,,,,,12,7
