"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BARRANCA (000)",125550,11501,3166,40060,48681,4282,5240,5533,7087
"Jefe o Jefa (001)",34159,2296,17,11508,13535,1154,1752,1237,2660
"Esposa(o)/ compa¤era(o) (002)",20827,2030,19,7011,7871,720,1180,584,1412
"Hijo(a)/ hijastro(a) (003)",48028,4235,2132,14253,19165,1706,1614,2785,2138
"Yerno/ nuera (004)",2771,27,4,266,1679,135,245,165,250
"Nieto(a) (005)",8379,1469,762,3348,2232,157,74,252,85
"Padres/ suegros (006)",1775,636,1,890,190,13,19,3,23
"Otro(a) pariente (007)",7903,708,199,2379,3255,309,279,412,362
"Trabajador(a) del hogar (008)",110,3,,35,61,2,5,4,
"Pensionista (009)",169,4,,46,74,6,3,7,29
"Otro(a) no pariente (010)",1429,93,32,324,619,80,69,84,128
"Hombres (012)",62752,4348,1641,19652,26198,2235,2313,2816,3549
"Jefe o Jefa (013)",24828,956,12,8157,10582,891,1269,927,2034
"Esposa(o)/ compa¤era(o) (014)",1439,51,,411,691,54,61,63,108
"Hijo(a)/ hijastro(a) (015)",24861,2135,1089,7417,10398,887,643,1370,922
"Yerno/ nuera (016)",1523,18,2,140,894,77,140,82,170
"Nieto(a) (017)",4326,748,399,1682,1201,102,39,120,35
"Padres/ suegros (018)",542,93,1,340,81,6,7,3,11
"Otro(a) pariente (019)",4294,308,118,1282,1919,164,119,207,177
"Trabajador(a) del hogar (020)",10,,,1,8,,1,,
"Pensionista (021)",125,1,,37,54,4,1,5,23
"Otro(a) no pariente (022)",804,38,20,185,370,50,33,39,69
"Mujeres (024)",62798,7153,1525,20408,22483,2047,2927,2717,3538
"Jefe o Jefa (025)",9331,1340,5,3351,2953,263,483,310,626
"Esposa(o)/ compa¤era(o) (026)",19388,1979,19,6600,7180,666,1119,521,1304
"Hijo(a)/ hijastro(a) (027)",23167,2100,1043,6836,8767,819,971,1415,1216
"Yerno/ nuera (028)",1248,9,2,126,785,58,105,83,80
"Nieto(a) (029)",4053,721,363,1666,1031,55,35,132,50
"Padres/ suegros (030)",1233,543,,550,109,7,12,,12
"Otro(a) pariente (031)",3609,400,81,1097,1336,145,160,205,185
"Trabajador(a) del hogar (032)",100,3,,34,53,2,4,4,
"Pensionista (033)",44,3,,9,20,2,2,2,6
"Otro(a) no pariente (034)",625,55,12,139,249,30,36,45,59
,,,,,,,,,
"URBANA (036)",107173,8592,2701,33336,41879,3887,4943,5081,6754
"Jefe o Jefa (037)",29000,1464,16,9539,11591,1048,1669,1128,2545
"Esposa(o)/ compa¤era(o) (038)",17382,1257,12,5753,6724,652,1113,544,1327
"Hijo(a)/ hijastro(a) (039)",40839,3429,1788,11648,16369,1544,1488,2529,2044
"Yerno/ nuera (040)",2445,19,3,212,1457,125,239,156,234
"Nieto(a) (041)",7489,1302,678,2989,1996,140,73,232,79
"Padres/ suegros (042)",1561,505,1,822,181,13,19,3,17
"Otro(a) pariente (043)",6876,530,174,2022,2856,278,267,395,354
