"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUAMANGA (000)",83996,81070,28439,12114,10657,7697,9942,6060,6161,2926
"Católica (001)",68526,65991,23244,10301,8936,6340,7909,4653,4608,2535
"Cristiana/Evangélica (002)",13175,12893,4216,1511,1466,1164,1836,1261,1439,282
"Otra (003)",1305,1256,481,147,137,134,147,119,91,49
"Ninguna (004)",990,930,498,155,118,59,50,27,23,60
,,,,,,,,,,
"URBANA (006)",62944,60570,22641,9550,8503,5891,6925,3846,3214,2374
"Católica (007)",53093,51000,18993,8327,7366,5023,5718,3056,2517,2093
"Cristiana/Evangélica (008)",7960,7783,2797,963,934,713,1066,686,624,177
"Otra (009)",985,938,378,111,101,101,105,86,56,47
"Ninguna (010)",906,849,473,149,102,54,36,18,17,57
,,,,,,,,,,
"RURAL (012)",21052,20500,5798,2564,2154,1806,3017,2214,2947,552
"Católica (013)",15433,14991,4251,1974,1570,1317,2191,1597,2091,442
"Cristiana/Evangélica (014)",5215,5110,1419,548,532,451,770,575,815,105
"Otra (015)",320,318,103,36,36,33,42,33,35,2
"Ninguna (016)",84,81,25,6,16,5,14,9,6,3
