"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ANTA (000)",663,539,124
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",1,1,
"Hospital, clinica (004)",25,25,
"Aldea infantil, orfelinato, etc (007)",271,155,116
"Otro (008)",142,142,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",224,216,8
