"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia UCAYALI (000)",11487,61017,6199,33098,5288,27919
"Casa independiente (001)",9099,48769,5933,32163,3166,16606
"Departamento en edificio (002)",8,29,8,29,,
"Vivienda en quinta (003)",174,563,174,563,,
"Vivienda en casa de vecindad (004)",26,79,26,79,,
"Choza o cabaña (005)",2117,11297,,,2117,11297
"Vivienda improvisada (006)",42,207,42,207,,
"Local no dest.para hab. humana (007)",15,64,13,54,2,10
"Otro tipo (008)",6,9,3,3,3,6
