"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ILO (000)",50416,5750,8682,11464,9700,6892,7928
"Conviviente (001)",11281,101,1857,4319,2883,1351,770
"Separado(a) (002)",2022,22,126,407,592,476,399
"Casado(a) (003)",17040,17,403,2960,4532,4114,5014
"Viudo(a) (004)",1493,1,7,35,77,178,1195
"Divorciado(a) (005)",454,,12,43,108,127,164
"Soltero(a) (006)",18126,5609,6277,3700,1508,646,386
"Hombres (008)",25505,2891,4369,5577,4861,3475,4332
"Conviviente (009)",5522,41,644,2005,1575,782,475
"Separado(a) (010)",693,12,20,102,189,184,186
"Casado(a) (011)",8566,8,128,1248,2204,2064,2914
"Viudo(a) (012)",521,,3,12,21,46,439
"Divorciado(a) (013)",220,,5,24,48,57,86
"Soltero(a) (014)",9983,2830,3569,2186,824,342,232
"Mujeres (016)",24911,2859,4313,5887,4839,3417,3596
"Conviviente (017)",5759,60,1213,2314,1308,569,295
"Separado(a) (018)",1329,10,106,305,403,292,213
"Casado(a) (019)",8474,9,275,1712,2328,2050,2100
"Viudo(a) (020)",972,1,4,23,56,132,756
"Divorciado(a) (021)",234,,7,19,60,70,78
"Soltero(a) (022)",8143,2779,2708,1514,684,304,154
,,,,,,,
"URBANA (024)",49741,5730,8364,11361,9608,6819,7859
"Conviviente (025)",11214,100,1845,4298,2863,1344,764
"Separado(a) (026)",2015,22,126,407,589,473,398
"Casado(a) (027)",16852,17,395,2926,4477,4063,4974
"Viudo(a) (028)",1476,1,7,35,77,177,1179
"Divorciado(a) (029)",449,,12,42,107,125,163
"Soltero(a) (030)",17735,5590,5979,3653,1495,637,381
"Hombres (032)",24945,2876,4080,5490,4784,3423,4292
"Conviviente (033)",5471,40,635,1988,1560,777,471
"Separado(a) (034)",688,12,20,102,187,181,186
"Casado(a) (035)",8418,8,123,1218,2156,2028,2885
"Viudo(a) (036)",516,,3,12,21,46,434
"Divorciado(a) (037)",217,,5,23,47,56,86
"Soltero(a) (038)",9635,2816,3294,2147,813,335,230
"Mujeres (040)",24796,2854,4284,5871,4824,3396,3567
"Conviviente (041)",5743,60,1210,2310,1303,567,293
"Separado(a) (042)",1327,10,106,305,402,292,212
"Casado(a) (043)",8434,9,272,1708,2321,2035,2089
"Viudo(a) (044)",960,1,4,23,56,131,745
"Divorciado(a) (045)",232,,7,19,60,69,77
"Soltero(a) (046)",8100,2774,2685,1506,682,302,151
,,,,,,,
"RURAL (048)",675,20,318,103,92,73,69
"Conviviente (049)",67,1,12,21,20,7,6
"Separado(a) (050)",7,,,,3,3,1
"Casado(a) (051)",188,,8,34,55,51,40
"Viudo(a) (052)",17,,,,,1,16
"Divorciado(a) (053)",5,,,1,1,2,1
"Soltero(a) (054)",391,19,298,47,13,9,5
"Hombres (056)",560,15,289,87,77,52,40
"Conviviente (057)",51,1,9,17,15,5,4
"Separado(a) (058)",5,,,,2,3,
"Casado(a) (059)",148,,5,30,48,36,29
"Viudo(a) (060)",5,,,,,,5
"Divorciado(a) (061)",3,,,1,1,1,
"Soltero(a) (062)",348,14,275,39,11,7,2
"Mujeres (064)",115,5,29,16,15,21,29
"Conviviente (065)",16,,3,4,5,2,2
"Separado(a) (066)",2,,,,1,,1
"Casado(a) (067)",40,,3,4,7,15,11
"Viudo(a) (068)",12,,,,,1,11
"Divorciado(a) (069)",2,,,,,1,1
"Soltero(a) (070)",43,5,23,8,2,2,3
