"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUAROCHIRI (000)",31096,16324,832,560,12360,435,10,69,6,500
"Hombres (001)",11546,8320,595,309,1737,210,7,39,5,324
"Mujeres (002)",19550,8004,237,251,10623,225,3,30,1,176
"De 06 a 14 años (003)",12046,11687,,,205,99,,8,,47
"Hombres (004)",6151,5977,,,89,57,,5,,23
"Mujeres (005)",5895,5710,,,116,42,,3,,24
"De 15 a 29 años (006)",8684,4512,7,80,3864,,2,19,6,194
"Hombres (007)",3004,2287,1,31,539,,1,9,5,131
"Mujeres (008)",5680,2225,6,49,3325,,1,10,1,63
"De 30 a 44 años (009)",3878,95,19,97,3567,,2,14,,84
"Hombres (010)",552,48,7,58,360,,2,9,,68
"Mujeres (011)",3326,47,12,39,3207,,,5,,16
"De 45 a 64 años (012)",3317,27,235,138,2814,2,4,13,,84
"Hombres (013)",635,6,157,78,338,,3,5,,48
"Mujeres (014)",2682,21,78,60,2476,2,1,8,,36
"De 65 y más años (015)",3171,3,571,245,1910,334,2,15,,91
"Hombres (016)",1204,2,430,142,411,153,1,11,,54
"Mujeres (017)",1967,1,141,103,1499,181,1,4,,37
,,,,,,,,,,
"AREA URBANA (018)",21881,11683,645,334,8504,264,7,40,6,398
"Hombres (019)",8275,5929,454,178,1296,123,4,23,5,263
"Mujeres (020)",13606,5754,191,156,7208,141,3,17,1,135
"De 06 a 14 años (021)",8366,8153,,,136,40,,6,,31
"Hombres (022)",4265,4162,,,61,23,,4,,15
"Mujeres (023)",4101,3991,,,75,17,,2,,16
"De 15 a 29 años (024)",6230,3441,6,42,2570,,1,11,6,153
"Hombres (025)",2242,1725,1,12,390,,,5,5,104
"Mujeres (026)",3988,1716,5,30,2180,,1,6,1,49
"De 30 a 44 años (027)",2647,69,12,56,2431,,1,10,,68
"Hombres (028)",404,36,5,28,274,,1,5,,55
"Mujeres (029)",2243,33,7,28,2157,,,5,,13
"De 45 a 64 años (030)",2341,17,164,87,1994,,4,6,,69
"Hombres (031)",454,4,111,45,248,,3,3,,40
"Mujeres (032)",1887,13,53,42,1746,,1,3,,29
"De 65 y más años (033)",2297,3,463,149,1373,224,1,7,,77
"Hombres (034)",910,2,337,93,323,100,,6,,49
"Mujeres (035)",1387,1,126,56,1050,124,1,1,,28
,,,,,,,,,,
"AREA RURAL (036)",9215,4641,187,226,3856,171,3,29,,102
"Hombres (037)",3271,2391,141,131,441,87,3,16,,61
"Mujeres (038)",5944,2250,46,95,3415,84,,13,,41
"De 06 a 14 años (039)",3680,3534,,,69,59,,2,,16
"Hombres (040)",1886,1815,,,28,34,,1,,8
"Mujeres (041)",1794,1719,,,41,25,,1,,8
"De 15 a 29 años (042)",2454,1071,1,38,1294,,1,8,,41
"Hombres (043)",762,562,,19,149,,1,4,,27
"Mujeres (044)",1692,509,1,19,1145,,,4,,14
"De 30 a 44 años (045)",1231,26,7,41,1136,,1,4,,16
"Hombres (046)",148,12,2,30,86,,1,4,,13
"Mujeres (047)",1083,14,5,11,1050,,,,,3
"De 45 a 64 años (048)",976,10,71,51,820,2,,7,,15
"Hombres (049)",181,2,46,33,90,,,2,,8
"Mujeres (050)",795,8,25,18,730,2,,5,,7
"De 65 y más años (051)",874,,108,96,537,110,1,8,,14
"Hombres (052)",294,,93,49,88,53,1,5,,5
"Mujeres (053)",580,,15,47,449,57,,3,,9
