"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD",,,,,,,,
"Hogares (001)",5359,2685,670,206,15,79,91,2545
"Ocupantes presentes (002)",21302,11310,2636,846,76,365,378,9481
"Casa independiente",,,,,,,,
"Hogares (004)",5171,2574,604,187,14,72,78,2487
"Ocupantes presentes (005)",20738,10972,2447,791,72,338,342,9306
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",15,6,6,4,,,2,5
"Ocupantes presentes (011)",34,14,19,9,,,2,10
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",112,74,59,15,1,7,11,23
"Ocupantes presentes (014)",295,189,166,46,4,27,34,65
"Choza o cabaña",,,,,,,,
"Hogares (016)",61,31,1,,,,,30
"Ocupantes presentes (017)",235,135,4,,,,,100
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",952,674,454,155,15,68,80,196
"Ocupantes presentes (029)",3383,2508,1711,609,76,313,316,581
"Casa independiente",,,,,,,,
"Hogares (031)",825,594,389,136,14,61,67,168
"Ocupantes presentes (032)",3054,2305,1526,554,72,286,280,506
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",15,6,6,4,,,2,5
"Ocupantes presentes (038)",34,14,19,9,,,2,10
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",112,74,59,15,1,7,11,23
"Ocupantes presentes (041)",295,189,166,46,4,27,34,65
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",4407,2011,216,51,,11,11,2349
"Ocupantes presentes (056)",17919,8802,925,237,,52,62,8900
"Casa independiente",,,,,,,,
"Hogares (058)",4346,1980,215,51,,11,11,2319
"Ocupantes presentes (059)",17684,8667,921,237,,52,62,8800
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",61,31,1,,,,,30
"Ocupantes presentes (071)",235,135,4,,,,,100
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
