"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUALLAGA (000)",6212,6059,21,1190,1359,1046,1255,659,364,165,153,21672
"De 12 a 14 años (001)",24,8,,8,,,,,,,16,8
"De 15 a 19 años (002)",314,284,4,232,44,4,,,,,30,332
"De 20 a 24 años (003)",761,721,4,397,243,61,16,,,,40,1133
"De 25 a 29 años (004)",786,759,3,222,293,142,94,5,,,27,1664
"De 30 a 34 años (005)",776,766,3,112,244,207,162,35,3,,10,2159
"De 35 a 39 años (006)",756,751,2,75,197,187,199,70,20,1,5,2538
"De 40 a 44 años (007)",652,644,,45,137,142,187,97,28,8,8,2517
"De 45 a 49 años (008)",547,541,1,29,92,117,161,84,43,14,6,2325
"De 50 y más años (009)",1596,1585,4,70,109,186,436,368,270,142,11,8996
"PEA (010)",1737,1693,5,350,428,327,345,140,71,27,44,5480
"De 12 a 14 años (011)",5,2,,2,,,,,,,3,2
"De 15 a 19 años (012)",58,55,,47,8,,,,,,3,63
"De 20 a 24 años (013)",186,174,1,112,48,8,5,,,,12,252
"De 25 a 29 años (014)",199,187,,60,72,28,25,2,,,12,406
"De 30 a 34 años (015)",214,212,1,39,71,56,36,8,1,,2,561
"De 35 a 39 años (016)",256,253,1,30,73,71,61,14,3,,3,774
"De 40 a 44 años (017)",257,253,,19,77,60,63,26,7,1,4,862
"De 45 a 49 años (018)",201,198,,20,42,46,55,23,10,2,3,739
"De 50 y más años (019)",361,359,2,21,37,58,100,67,50,24,2,1821
"Ocupada (020)",1714,1672,5,347,422,322,339,139,71,27,42,5419
"De 12 a 14 años (021)",5,2,,2,,,,,,,3,2
"De 15 a 19 años (022)",58,55,,47,8,,,,,,3,63
