"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BOLIVAR (000)",16570,432,6622,3641,2778,2135,962
"Jefe o Jefa (001)",3834,,6,604,1366,1264,594
"Esposa(o) / compañera(o) (002)",2521,,5,633,1004,670,209
"Hijo(a) / hijastro(a) (003)",7898,329,5469,1853,203,40,4
"Yerno / nuera (004)",120,,3,82,31,4,
"Nieto(a) (005)",822,66,663,89,4,,
"Padres / suegros (006)",148,,,,6,39,103
"Otro(a) pariente (007)",981,33,427,274,108,94,45
"Trabajador(a) del hogar (008)",33,,4,18,1,7,3
"Pensionistas (009)",27,,1,12,12,1,1
"Otro(a) no pariente (010)",186,4,44,76,43,16,3
"Hombres (011)",8550,225,3419,1898,1390,1140,478
"Jefe o Jefa (012)",2875,,2,436,1066,971,400
"Esposa(o) / compañera(o) (013)",229,,1,58,88,60,22
"Hijo(a) / hijastro(a) (014)",4233,168,2824,1101,118,19,3
"Yerno / nuera (015)",45,,1,22,19,3,
"Nieto(a) (016)",436,32,352,49,3,,
"Padres / suegros (017)",43,,,,1,12,30
"Otro(a) pariente (018)",542,22,213,166,63,58,20
"Trabajador(a) del hogar (019)",10,,,4,1,3,2
"Pensionistas (020)",15,,1,8,4,1,1
"Otro(a) no pariente (021)",122,3,25,54,27,13,
"Mujeres (022)",8020,207,3203,1743,1388,995,484
"Jefe o Jefa (023)",959,,4,168,300,293,194
"Esposa(o) / compañera(o) (024)",2292,,4,575,916,610,187
"Hijo(a) / hijastro(a) (025)",3665,161,2645,752,85,21,1
"Yerno / nuera (026)",75,,2,60,12,1,
"Nieto(a) (027)",386,34,311,40,1,,
"Padres / suegros (028)",105,,,,5,27,73
"Otro(a) pariente (029)",439,11,214,108,45,36,25
"Trabajador(a) del hogar (030)",23,,4,14,,4,1
"Pensionistas (031)",12,,,4,8,,
"Otro(a) no pariente (032)",64,1,19,22,16,3,3
,,,,,,,
"URBANA (033)",5674,122,2031,1240,1042,876,363
"Jefe o Jefa (034)",1420,,2,164,510,513,231
"Esposa(o) / compañera(o) (035)",895,,,178,367,283,67
"Hijo(a) / hijastro(a) (036)",2521,87,1664,676,83,8,3
"Yerno / nuera (037)",44,,2,25,15,2,
"Nieto(a) (038)",287,21,240,24,2,,
"Padres / suegros (039)",59,,,,,13,46
"Otro(a) pariente (040)",299,10,104,103,29,42,11
"Trabajador(a) del hogar (041)",22,,3,14,1,2,2
"Pensionistas (042)",21,,1,9,10,1,
"Otro(a) no pariente (043)",106,4,15,47,25,12,3
"Hombres (044)",2850,63,1024,625,507,461,170
"Jefe o Jefa (045)",1057,,,113,398,402,144
"Esposa(o) / compañera(o) (046)",45,,,9,12,17,7
"Hijo(a) / hijastro(a) (047)",1312,43,837,381,46,2,3
"Yerno / nuera (048)",20,,1,7,10,2,
"Nieto(a) (049)",152,10,126,15,1,,
"Padres / suegros (050)",14,,,,,4,10
"Otro(a) pariente (051)",168,7,52,62,20,23,4
"Trabajador(a) del hogar (052)",4,,,1,1,,2
"Pensionistas (053)",12,,1,6,4,1,
"Otro(a) no pariente (054)",66,3,7,31,15,10,
"Mujeres (055)",2824,59,1007,615,535,415,193
"Jefe o Jefa (056)",363,,2,51,112,111,87
"Esposa(o) / compañera(o) (057)",850,,,169,355,266,60
"Hijo(a) / hijastro(a) (058)",1209,44,827,295,37,6,
"Yerno / nuera (059)",24,,1,18,5,,
"Nieto(a) (060)",135,11,114,9,1,,
"Padres / suegros (061)",45,,,,,9,36
"Otro(a) pariente (062)",131,3,52,41,9,19,7
"Trabajador(a) del hogar (063)",18,,3,13,,2,
"Pensionistas (064)",9,,,3,6,,
"Otro(a) no pariente (065)",40,1,8,16,10,2,3
,,,,,,,
"RURAL (066)",10896,310,4591,2401,1736,1259,599
"Jefe o Jefa (067)",2414,,4,440,856,751,363
"Esposa(o) / compañera(o) (068)",1626,,5,455,637,387,142
"Hijo(a) / hijastro(a) (069)",5377,242,3805,1177,120,32,1
"Yerno / nuera (070)",76,,1,57,16,2,
"Nieto(a) (071)",535,45,423,65,2,,
"Padres / suegros (072)",89,,,,6,26,57
"Otro(a) pariente (073)",682,23,323,171,79,52,34
"Trabajador(a) del hogar (074)",11,,1,4,,5,1
"Pensionistas (075)",6,,,3,2,,1
"Otro(a) no pariente (076)",80,,29,29,18,4,
"Hombres (077)",5700,162,2395,1273,883,679,308
"Jefe o Jefa (078)",1818,,2,323,668,569,256
"Esposa(o) / compañera(o) (079)",184,,1,49,76,43,15
"Hijo(a) / hijastro(a) (080)",2921,125,1987,720,72,17,
"Yerno / nuera (081)",25,,,15,9,1,
"Nieto(a) (082)",284,22,226,34,2,,
"Padres / suegros (083)",29,,,,1,8,20
"Otro(a) pariente (084)",374,15,161,104,43,35,16
"Trabajador(a) del hogar (085)",6,,,3,,3,
"Pensionistas (086)",3,,,2,,,1
"Otro(a) no pariente (087)",56,,18,23,12,3,
"Mujeres (088)",5196,148,2196,1128,853,580,291
"Jefe o Jefa (089)",596,,2,117,188,182,107
"Esposa(o) / compañera(o) (090)",1442,,4,406,561,344,127
"Hijo(a) / hijastro(a) (091)",2456,117,1818,457,48,15,1
"Yerno / nuera (092)",51,,1,42,7,1,
"Nieto(a) (093)",251,23,197,31,,,
"Padres / suegros (094)",60,,,,5,18,37
"Otro(a) pariente (095)",308,8,162,67,36,17,18
"Trabajador(a) del hogar (096)",5,,1,1,,2,1
"Pensionistas (097)",3,,,1,2,,
"Otro(a) no pariente (098)",24,,11,6,6,1,
