"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia JAEN",,,,,,
"Viviendas particulares (001)",42538,41614,754,132,35,3
"Ocupantes presentes (002)",182221,173911,6141,1589,516,64
"Casa independiente",,,,,,
"Viviendas particulares (004)",38142,37345,671,99,25,2
"Ocupantes presentes (005)",165942,158877,5494,1179,354,38
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",869,828,27,12,2,
"Ocupantes presentes (008)",2816,2445,198,138,35,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",1202,1158,31,9,4,
"Ocupantes presentes (011)",3957,3506,256,129,66,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",797,755,25,12,4,1
"Ocupantes presentes (014)",2741,2318,193,143,61,26
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1456,1456,,,,
"Ocupantes presentes (017)",6540,6540,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",26,26,,,,
"Ocupantes presentes (020)",85,85,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",42,42,,,,
"Ocupantes presentes (023)",124,124,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",4,4,,,,
"Ocupantes presentes (026)",16,16,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",22164,21322,673,131,35,3
"Ocupantes presentes (029)",90857,83225,5471,1581,516,64
"Casa independiente",,,,,,
"Viviendas particulares (031)",19235,18520,590,98,25,2
"Ocupantes presentes (032)",81154,74767,4824,1171,354,38
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",869,828,27,12,2,
"Ocupantes presentes (035)",2816,2445,198,138,35,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",1202,1158,31,9,4,
"Ocupantes presentes (038)",3957,3506,256,129,66,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",797,755,25,12,4,1
"Ocupantes presentes (041)",2741,2318,193,143,61,26
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",26,26,,,,
"Ocupantes presentes (047)",85,85,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",32,32,,,,
"Ocupantes presentes (050)",90,90,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",3,3,,,,
"Ocupantes presentes (053)",14,14,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",20374,20292,81,1,,
"Ocupantes presentes (056)",91364,90686,670,8,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",18907,18825,81,1,,
"Ocupantes presentes (059)",84788,84110,670,8,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1456,1456,,,,
"Ocupantes presentes (071)",6540,6540,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",10,10,,,,
"Ocupantes presentes (077)",34,34,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",2,2,,,,
