"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia VICTOR FAJARDO (000)",8645,255,2134,2804,2303,1149
"Agric., ganadería, caza y silvicultura (001)",4843,193,918,1312,1440,980
"Pesca (002)",8,,4,2,2,
"Explotación de minas y canteras (003)",594,,204,293,93,4
"Industrias manufactureras (004)",128,,40,48,29,11
"Suministro de electricidad, gas y agua (005)",4,,,2,2,
"Construcción (006)",510,9,184,188,109,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",466,25,104,176,138,23
"Venta, mant.y rep. veh.autom.y motoc. (008)",12,,6,3,3,
"Comercio al por mayor (009)",11,,2,5,4,
"Comercio al por menor (010)",443,25,96,168,131,23
"Hoteles y restaurantes (011)",225,4,65,67,65,24
"Trans., almac. y comunicaciones (012)",113,12,41,40,19,1
"Intermediación financiera (013)",5,,3,1,1,
"Activid.inmobil., empres. y alquileres (014)",53,,20,29,4,
"Admin.pub. y defensa; p. segur.soc afil (015)",314,,118,121,72,3
"Enseñanza (016)",575,,124,293,154,4
"Servicios sociales y de salud (017)",114,,41,64,7,2
"Otras activ. serv.comun.soc y personales (018)",44,4,20,10,8,2
"Hogares privados con servicio doméstico (019)",57,1,30,9,12,5
"Actividad economica no especificada (021)",274,1,73,60,86,54
"Desocupado (022)",318,6,145,89,62,16
"Hombres (023)",5796,150,1426,1966,1489,765
"Agric., ganadería, caza y silvicultura (024)",3330,120,653,953,925,679
"Pesca (025)",7,,4,1,2,
"Explotación de minas y canteras (026)",576,,196,284,92,4
"Industrias manufactureras (027)",100,,37,35,21,7
"Suministro de electricidad, gas y agua (028)",4,,,2,2,
"Construcción (029)",465,7,171,173,95,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",170,12,31,66,48,13
"Venta, mant.y rep. veh.autom.y motoc. (031)",11,,5,3,3,
"Comercio al por mayor (032)",9,,1,4,4,
"Comercio al por menor (033)",150,12,25,59,41,13
"Hoteles y restaurantes (034)",27,,8,10,6,3
"Trans., almac. y comunicaciones (035)",106,8,41,38,18,1
"Intermediación financiera (036)",2,,1,,1,
"Activid.inmobil., empres. y alquileres (037)",36,,11,23,2,
"Admin.pub. y defensa; p. segur.soc afil (038)",221,,71,84,63,3
"Enseñanza (039)",358,,62,175,117,4
"Servicios sociales y de salud (040)",52,,12,34,4,2
"Otras activ. serv.comun.soc y personales (041)",11,,3,4,4,
