"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",4072,3983,980,480,473,394,644,471,541,89
"Católica (001)",3678,3597,876,434,426,356,591,430,484,81
"Cristiana/Evangélica (002)",208,204,51,27,29,22,28,19,28,4
"Otra (003)",127,124,37,10,10,14,17,15,21,3
"Ninguna (004)",59,58,16,9,8,2,8,7,8,1
,,,,,,,,,,
"URBANA (006)",2787,2729,686,355,346,293,445,300,304,58
"Católica (007)",2569,2517,629,323,314,269,412,284,286,52
"Cristiana/Evangélica (008)",133,130,32,20,24,14,18,13,9,3
"Otra (009)",53,51,19,4,4,8,9,,7,2
"Ninguna (010)",32,31,6,8,4,2,6,3,2,1
,,,,,,,,,,
"RURAL (012)",1285,1254,294,125,127,101,199,171,237,31
"Católica (013)",1109,1080,247,111,112,87,179,146,198,29
"Cristiana/Evangélica (014)",75,74,19,7,5,8,10,6,19,1
"Otra (015)",74,73,18,6,6,6,8,15,14,1
"Ninguna (016)",27,27,10,1,4,,2,4,6,
