"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTA (000)",371193,32699,10223,103625,124502,18459,22567,26537,32581
"Jefe o Jefa (001)",95635,6437,40,26371,32246,5166,8203,5365,11807
"Esposa(o)/ compa¤era(o) (002)",59204,5355,49,15792,20424,3108,5208,3003,6265
"Hijo(a)/ hijastro(a) (003)",149009,12362,7129,41619,50101,7314,6257,13660,10567
"Yerno/ nuera (004)",8622,70,3,854,4212,596,924,789,1174
"Nieto(a) (005)",24575,4138,2388,9294,6208,603,265,1339,340
"Padres/ suegros (006)",4719,1878,,2049,501,32,115,28,116
"Otro(a) pariente (007)",23907,2112,557,6447,8688,1309,1242,1823,1729
"Trabajador(a) del hogar (008)",555,37,,188,264,28,11,24,3
"Pensionista (009)",432,19,,93,152,28,19,54,67
"Otro(a) no pariente (010)",4535,291,57,918,1706,275,323,452,513
"Hombres (012)",183841,12605,5229,51046,65462,9521,10908,13020,16050
"Jefe o Jefa (013)",68196,2524,25,18401,24602,3837,5935,3937,8935
"Esposa(o)/ compa¤era(o) (014)",4363,158,6,1046,1854,257,283,293,466
"Hijo(a)/ hijastro(a) (015)",77139,6358,3684,21621,27327,3868,3105,6581,4595
"Yerno/ nuera (016)",4423,34,,411,2054,280,540,373,731
"Nieto(a) (017)",12741,2170,1199,4787,3288,361,142,648,146
"Padres/ suegros (018)",1408,289,,795,212,15,40,9,48
"Otro(a) pariente (019)",12816,923,284,3368,5041,728,682,942,848
"Trabajador(a) del hogar (020)",42,4,,11,20,4,,2,1
"Pensionista (021)",298,6,,74,108,16,13,33,48
"Otro(a) no pariente (022)",2415,139,31,532,956,155,168,202,232
"Mujeres (024)",187352,20094,4994,52579,59040,8938,11659,13517,16531
"Jefe o Jefa (025)",27439,3913,15,7970,7644,1329,2268,1428,2872
"Esposa(o)/ compa¤era(o) (026)",54841,5197,43,14746,18570,2851,4925,2710,5799
"Hijo(a)/ hijastro(a) (027)",71870,6004,3445,19998,22774,3446,3152,7079,5972
"Yerno/ nuera (028)",4199,36,3,443,2158,316,384,416,443
"Nieto(a) (029)",11834,1968,1189,4507,2920,242,123,691,194
"Padres/ suegros (030)",3311,1589,,1254,289,17,75,19,68
"Otro(a) pariente (031)",11091,1189,273,3079,3647,581,560,881,881
"Trabajador(a) del hogar (032)",513,33,,177,244,24,11,22,2
"Pensionista (033)",134,13,,19,44,12,6,21,19
"Otro(a) no pariente (034)",2120,152,26,386,750,120,155,250,281
,,,,,,,,,
"URBANA (036)",346821,28518,9592,92048,117678,18134,22266,26243,32342
"Jefe o Jefa (037)",89013,5357,35,22928,30485,5087,8108,5307,11706
"Esposa(o)/ compa¤era(o) (038)",54816,4327,40,13601,19443,3058,5153,2949,6245
"Hijo(a)/ hijastro(a) (039)",138899,11015,6634,37108,46851,7155,6156,13505,10475
"Yerno/ nuera (040)",8244,66,3,731,4004,589,901,782,1168
"Nieto(a) (041)",23382,3857,2296,8737,5968,598,258,1331,337
