"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SAN IGNACIO",,,
"Viviendas particulares (001)",29121,8501,20620
"Ocupantes presentes (002)",130377,37399,92978
"Casa independiente",,,
"Viviendas particulares (004)",28081,7996,20085
"Ocupantes presentes (005)",126300,35569,90731
"Departamento en edificio",,,
"Viviendas particulares (007)",24,24,
"Ocupantes presentes (008)",89,89,
"Vivienda en quinta",,,
"Viviendas particulares (010)",180,180,
"Ocupantes presentes (011)",663,663,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",264,249,15
"Ocupantes presentes (014)",895,845,50
"Choza o cabaña",,,
"Viviendas particulares (016)",535,41,494
"Ocupantes presentes (017)",2314,187,2127
"Vivienda improvisada",,,
"Viviendas particulares (019)",8,5,3
"Ocupantes presentes (020)",31,21,10
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",23,6,17
"Ocupantes presentes (023)",72,25,47
"Otro tipo",,,
"Viviendas particulares (025)",6,,6
"Ocupantes presentes (026)",13,,13
,,,
URBANA,,,
"Viviendas particulares (028)",4801,3744,1057
"Ocupantes presentes (029)",19777,15523,4254
"Casa independiente",,,
"Viviendas particulares (031)",4315,3283,1032
"Ocupantes presentes (032)",18070,13890,4180
"Departamento en edificio",,,
"Viviendas particulares (034)",24,24,
"Ocupantes presentes (035)",89,89,
"Vivienda en quinta",,,
"Viviendas particulares (037)",180,180,
"Ocupantes presentes (038)",663,663,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",264,249,15
"Ocupantes presentes (041)",895,845,50
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",8,5,3
"Ocupantes presentes (047)",31,21,10
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",7,3,4
"Ocupantes presentes (050)",25,15,10
"Otro tipo",,,
"Viviendas particulares (052)",3,,3
"Ocupantes presentes (053)",4,,4
,,,
RURAL,,,
"Viviendas particulares (055)",24320,4757,19563
"Ocupantes presentes (056)",110600,21876,88724
"Casa independiente",,,
"Viviendas particulares (058)",23766,4713,19053
"Ocupantes presentes (059)",108230,21679,86551
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",535,41,494
"Ocupantes presentes (071)",2314,187,2127
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",16,3,13
"Ocupantes presentes (077)",47,10,37
"Otro tipo",,,
"Viviendas particulares (079)",3,,3
"Ocupantes presentes (080)",9,,9
