"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CARAVELI (000)",31898,3434,4126,1033,23368
"Hombres (001)",18264,1698,2509,755,13351
"Mujeres (002)",13634,1736,1617,278,10017
"PEA (003)",17135,475,2593,717,13397
"Hombres (004)",12938,305,1915,606,10155
"Mujeres (005)",4197,170,678,111,3242
"Ocupada (006)",16677,455,2567,710,12992
"Hombres (007)",12594,290,1900,600,9847
"Mujeres (008)",4083,165,667,110,3145
"Desocupada (009)",458,20,26,7,405
"Hombres (010)",344,15,15,6,308
"Mujeres (011)",114,5,11,1,97
"No PEA (012)",14763,2959,1533,316,9971
"Hombres (013)",5326,1393,594,149,3196
"Mujeres (014)",9437,1566,939,167,6775
,,,,,
"URBANA (018)",20478,2458,3250,745,14076
"Hombres (019)",10865,1219,1817,520,7348
"Mujeres (020)",9613,1239,1433,225,6728
"PEA (021)",9895,323,1883,478,7247
"Hombres (022)",6915,194,1292,390,5072
"Mujeres (023)",2980,129,591,88,2175
"Ocupada (024)",9524,309,1858,472,6921
"Hombres (025)",6641,185,1278,385,4826
"Mujeres (026)",2883,124,580,87,2095
"Desocupada (027)",371,14,25,6,326
"Hombres (028)",274,9,14,5,246
"Mujeres (029)",97,5,11,1,80
"No PEA (030)",10583,2135,1367,267,6829
"Hombres (031)",3950,1025,525,130,2276
"Mujeres (032)",6633,1110,842,137,4553
,,,,,
"RURAL (036)",11420,976,876,288,9292
"Hombres (037)",7399,479,692,235,6003
"Mujeres (038)",4021,497,184,53,3289
"PEA (039)",7240,152,710,239,6150
"Hombres (040)",6023,111,623,216,5083
"Mujeres (041)",1217,41,87,23,1067
"Ocupada (042)",7153,146,709,238,6071
"Hombres (043)",5953,105,622,215,5021
"Mujeres (044)",1200,41,87,23,1050
"Desocupada (045)",87,6,1,1,79
"Hombres (046)",70,6,1,1,62
"Mujeres (047)",17,,,,17
"No PEA (048)",4180,824,166,49,3142
"Hombres (049)",1376,368,69,19,920
"Mujeres (050)",2804,456,97,30,2222
