"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CUSCO (000)",349453,34433,78946,20770,217047
"Sin Nivel (001)",24716,5732,4236,854,13972
"Educación Inicial (002)",8937,2322,2179,382,4089
"Primaria (003)",77650,13938,13960,3205,46805
"Secundaria (004)",117087,9121,19920,5346,82983
"Sup. no Univ. Incompleta (005)",23205,831,3578,1320,17556
"Sup. no Univ. Completa (006)",24516,750,8598,2161,13183
"Sup. Univ. Incompleta (007)",30322,736,6067,2752,20934
"Sup. Univ. Completa (008)",43020,1003,20408,4750,17525
"Hombres (010)",168149,15793,36905,11610,104780
"Sin Nivel (011)",9446,2563,1850,372,4700
"Educación Inicial (012)",4477,1131,1127,205,2032
"Primaria (013)",34861,6673,6514,1542,20244
"Secundaria (014)",59552,4086,9805,3111,42714
"Sup. no Univ. Incompleta (015)",11123,291,1691,799,8382
"Sup. no Univ. Completa (016)",10613,235,3271,1237,5956
"Sup. Univ. Incompleta (017)",16761,353,3100,1725,11692
"Sup. Univ. Completa (018)",21316,461,9547,2619,9060
"Mujeres (020)",181304,18640,42041,9160,112267
"Sin Nivel (021)",15270,3169,2386,482,9272
"Educación Inicial (022)",4460,1191,1052,177,2057
"Primaria (023)",42789,7265,7446,1663,26561
"Secundaria (024)",57535,5035,10115,2235,40269
"Sup. no Univ. Incompleta (025)",12082,540,1887,521,9174
"Sup. no Univ. Completa (026)",13903,515,5327,924,7227
"Sup. Univ. Incompleta (027)",13561,383,2967,1027,9242
"Sup. Univ. Completa (028)",21704,542,10861,2131,8465
,,,,,
"URBANA (030)",334457,27930,78227,20456,209577
"Sin Nivel (031)",22194,4357,4168,822,12924
"Educación Inicial (032)",8434,1981,2156,371,3959
"Primaria (033)",70982,10562,13729,3096,43849
"Secundaria (034)",112728,7823,19669,5240,80278
"Sup. no Univ. Incompleta (035)",22829,780,3546,1303,17280
"Sup. no Univ. Completa (036)",24294,718,8555,2144,13051
"Sup. Univ. Incompleta (037)",30130,711,6045,2740,20801
"Sup. Univ. Completa (038)",42866,998,20359,4740,17435
"Hombres (040)",160606,12733,36503,11412,100891
"Sin Nivel (041)",8631,2095,1826,361,4388
"Educación Inicial (042)",4232,971,1112,195,1970
"Primaria (043)",31552,5029,6408,1481,18744
"Secundaria (044)",56906,3352,9634,3035,41049
"Sup. no Univ. Incompleta (045)",10912,265,1673,787,8227
"Sup. no Univ. Completa (046)",10498,225,3250,1223,5884
"Sup. Univ. Incompleta (047)",16648,339,3086,1718,11614
"Sup. Univ. Completa (048)",21227,457,9514,2612,9015
"Mujeres (050)",173851,15197,41724,9044,108686
"Sin Nivel (051)",13563,2262,2342,461,8536
"Educación Inicial (052)",4202,1010,1044,176,1989
"Primaria (053)",39430,5533,7321,1615,25105
"Secundaria (054)",55822,4471,10035,2205,39229
"Sup. no Univ. Incompleta (055)",11917,515,1873,516,9053
"Sup. no Univ. Completa (056)",13796,493,5305,921,7167
"Sup. Univ. Incompleta (057)",13482,372,2959,1022,9187
"Sup. Univ. Completa (058)",21639,541,10845,2128,8420
,,,,,
"RURAL (060)",14996,6503,719,314,7470
"Sin Nivel (061)",2522,1375,68,32,1048
"Educación Inicial (062)",503,341,23,11,130
"Primaria (063)",6668,3376,231,109,2956
"Secundaria (064)",4359,1298,251,106,2705
"Sup. no Univ. Incompleta (065)",376,51,32,17,276
"Sup. no Univ. Completa (066)",222,32,43,17,132
"Sup. Univ. Incompleta (067)",192,25,22,12,133
"Sup. Univ. Completa (068)",154,5,49,10,90
"Hombres (070)",7543,3060,402,198,3889
"Sin Nivel (071)",815,468,24,11,312
"Educación Inicial (072)",245,160,15,10,62
"Primaria (073)",3309,1644,106,61,1500
"Secundaria (074)",2646,734,171,76,1665
"Sup. no Univ. Incompleta (075)",211,26,18,12,155
"Sup. no Univ. Completa (076)",115,10,21,14,72
"Sup. Univ. Incompleta (077)",113,14,14,7,78
"Sup. Univ. Completa (078)",89,4,33,7,45
"Mujeres (080)",7453,3443,317,116,3581
"Sin Nivel (081)",1707,907,44,21,736
"Educación Inicial (082)",258,181,8,1,68
"Primaria (083)",3359,1732,125,48,1456
"Secundaria (084)",1713,564,80,30,1040
"Sup. no Univ. Incompleta (085)",165,25,14,5,121
"Sup. no Univ. Completa (086)",107,22,22,3,60
"Sup. Univ. Incompleta (087)",79,11,8,5,55
"Sup. Univ. Completa (088)",65,1,16,3,45
