"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,,,,,,
"Viviendas particulares (001)",596,398,60,2,7,1,,2,126
"Ocupantes presentes (002)",3039,2179,217,15,33,5,,10,580
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",405,313,18,1,3,1,,2,67
"Ocupantes presentes (005)",2249,1811,80,10,15,5,,10,318
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,2,,,,,,,
"Ocupantes presentes (008)",7,7,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",109,54,42,,4,,,,9
"Ocupantes presentes (011)",359,181,137,,18,,,,23
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",77,27,,1,,,,,49
"Ocupantes presentes (017)",412,169,,5,,,,,238
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,2,,,,,,,
"Ocupantes presentes (020)",11,11,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,,,,,1
"Ocupantes presentes (023)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",413,328,60,1,7,,,2,15
"Ocupantes presentes (029)",2081,1758,217,10,33,,,10,53
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",299,270,18,1,3,,,2,5
"Ocupantes presentes (032)",1703,1559,80,10,15,,,10,29
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,2,,,,,,,
"Ocupantes presentes (035)",7,7,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",109,54,42,,4,,,,9
"Ocupantes presentes (038)",359,181,137,,18,,,,23
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,2,,,,,,,
"Ocupantes presentes (047)",11,11,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,,,,,,1
"Ocupantes presentes (050)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",183,70,,1,,1,,,111
"Ocupantes presentes (056)",958,421,,5,,5,,,527
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",106,43,,,,1,,,62
"Ocupantes presentes (059)",546,252,,,,5,,,289
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",77,27,,1,,,,,49
"Ocupantes presentes (071)",412,169,,5,,,,,238
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
