"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MOHO (000)",27819,436,8463,5648,4415,4906,3951
"Hombres (001)",13647,225,4331,2844,2118,2293,1836
"Mujeres (002)",14172,211,4132,2804,2297,2613,2115
"Viviendas particulares (003)",27342,432,8404,5491,4274,4821,3920
"Hombres (004)",13390,223,4307,2757,2032,2248,1823
"Mujeres (005)",13952,209,4097,2734,2242,2573,2097
"Viviendas colectivas (006)",56,,,5,39,12,
"Hombres (007)",52,,,5,36,11,
"Mujeres (008)",4,,,,3,1,
"Otro tipo (009)",421,4,59,152,102,73,31
"Hombres (010)",205,2,24,82,50,34,13
"Mujeres (011)",216,2,35,70,52,39,18
,,,,,,,
"URBANA (012)",7950,112,2512,1966,1476,1235,649
"Hombres (013)",4086,53,1280,1021,737,664,331
"Mujeres (014)",3864,59,1232,945,739,571,318
"Viviendas particulares (015)",7478,108,2453,1810,1336,1153,618
"Hombres (016)",3833,51,1256,935,652,621,318
"Mujeres (017)",3645,57,1197,875,684,532,300
"Viviendas colectivas (018)",51,,,4,38,9,
"Hombres (019)",48,,,4,35,9,
"Mujeres (020)",3,,,,3,,
"Otro tipo (021)",421,4,59,152,102,73,31
"Hombres (022)",205,2,24,82,50,34,13
"Mujeres (023)",216,2,35,70,52,39,18
,,,,,,,
"RURAL (024)",19869,324,5951,3682,2939,3671,3302
"Hombres (025)",9561,172,3051,1823,1381,1629,1505
"Mujeres (026)",10308,152,2900,1859,1558,2042,1797
"Viviendas particulares (027)",19864,324,5951,3681,2938,3668,3302
"Hombres (028)",9557,172,3051,1822,1380,1627,1505
"Mujeres (029)",10307,152,2900,1859,1558,2041,1797
"Viviendas colectivas (030)",5,,,1,1,3,
"Hombres (031)",4,,,1,1,2,
"Mujeres (032)",1,,,,,1,
