"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANTA (000)",27905,23898,1853,933,1221
"Empleado (001)",3306,1142,538,621,1005
"Obrero (002)",4436,3509,472,247,208
"Trabajador independiente (003)",14919,14356,563,,
"Empleador o patrono (004)",567,503,46,15,3
"Trabajador familiar no remunerado (005)",4332,4043,234,50,5
"Trabajador del hogar (006)",345,345,,,
"De 06 a 14 años (008)",666,593,59,13,1
"Empleado (009)",47,36,8,3,
"Obrero (010)",59,48,6,5,
"Trabajador independiente (011)",100,91,9,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",425,383,36,5,1
"Trabajador del hogar (014)",33,33,,,
"De 15 a 29 años (016)",9995,8603,773,304,315
"Empleado (017)",1167,576,199,154,238
"Obrero (018)",1960,1537,230,118,75
"Trabajador independiente (019)",4427,4214,213,,
"Empleador o patrono (020)",158,135,17,6,
"Trabajador familiar no remunerado (021)",2064,1922,114,26,2
"Trabajador del hogar (022)",219,219,,,
"De 30 a 44 años (024)",9408,7667,661,441,639
"Empleado (025)",1516,377,250,335,554
"Obrero (026)",1412,1087,154,88,83
"Trabajador independiente (027)",5203,5009,194,,
"Empleador o patrono (028)",214,196,11,5,2
"Trabajador familiar no remunerado (029)",1008,943,52,13,
"Trabajador del hogar (030)",55,55,,,
"De 45 a 64 años (032)",6255,5525,317,160,253
"Empleado (033)",547,138,76,125,208
"Obrero (034)",834,692,70,29,43
"Trabajador independiente (035)",4035,3911,124,,
"Empleador o patrono (036)",154,134,16,3,1
"Trabajador familiar no remunerado (037)",654,619,31,3,1
"Trabajador del hogar (038)",31,31,,,
"De 65 y más años (040)",1581,1510,43,15,13
"Empleado (041)",29,15,5,4,5
"Obrero (042)",171,145,12,7,7
"Trabajador independiente (043)",1154,1131,23,,
"Empleador o patrono (044)",39,36,2,1,
"Trabajador familiar no remunerado (045)",181,176,1,3,1
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",13623,10612,1190,750,1071
"Empleado (049)",2921,929,482,585,925
"Obrero (050)",2069,1557,242,130,140
"Trabajador independiente (051)",6540,6214,326,,
"Empleador o patrono (052)",245,208,26,8,3
"Trabajador familiar no remunerado (053)",1577,1433,114,27,3
