"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia OTUZCO (000)",31739,30764,9025,4186,4070,3296,4421,2803,2963,975
"Católica (001)",24601,23811,7202,3356,3290,2560,3260,2084,2059,790
"Cristiana/Evangélica (002)",4687,4554,1116,503,495,506,798,502,634,133
"Otra (003)",1521,1486,444,180,160,136,238,147,181,35
"Ninguna (004)",930,913,263,147,125,94,125,70,89,17
,,,,,,,,,,
"URBANA (006)",8379,8092,2394,1287,1274,900,1110,570,557,287
"Católica (007)",6879,6638,1971,1093,1080,723,872,479,420,241
"Cristiana/Evangélica (008)",1123,1090,311,137,132,140,179,76,115,33
"Otra (009)",242,231,67,34,38,25,42,7,18,11
"Ninguna (010)",135,133,45,23,24,12,17,8,4,2
,,,,,,,,,,
"RURAL (012)",23360,22672,6631,2899,2796,2396,3311,2233,2406,688
"Católica (013)",17722,17173,5231,2263,2210,1837,2388,1605,1639,549
"Cristiana/Evangélica (014)",3564,3464,805,366,363,366,619,426,519,100
"Otra (015)",1279,1255,377,146,122,111,196,140,163,24
"Ninguna (016)",795,780,218,124,101,82,108,62,85,15
