"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONDORCANQUI (000)",10367,9181,333,141,712
"Empleado (001)",1081,192,103,101,685
"Obrero (002)",551,418,73,35,25
"Trabajador independiente (003)",5673,5563,110,,
"Empleador o patrono (004)",39,35,2,1,1
"Trabajador familiar no remunerado (005)",2898,2848,45,4,1
"Trabajador del hogar (006)",125,125,,,
"De 06 a 14 años (008)",230,218,10,2,
"Empleado (009)",3,3,,,
"Obrero (010)",9,7,1,1,
"Trabajador independiente (011)",47,46,1,,
"Trabajador familiar no remunerado (013)",155,146,8,1,
"Trabajador del hogar (014)",16,16,,,
"De 15 a 29 años (016)",4536,4177,123,39,197
"Empleado (017)",328,85,26,25,192
"Obrero (018)",276,223,37,12,4
"Trabajador independiente (019)",2230,2189,41,,
"Empleador o patrono (020)",12,11,,,1
"Trabajador familiar no remunerado (021)",1607,1586,19,2,
"Trabajador del hogar (022)",83,83,,,
"De 30 a 44 años (024)",3652,3080,141,75,356
"Empleado (025)",532,76,57,54,345
"Obrero (026)",190,134,26,19,11
"Trabajador independiente (027)",2094,2049,45,,
"Empleador o patrono (028)",15,12,2,1,
"Trabajador familiar no remunerado (029)",806,794,11,1,
"Trabajador del hogar (030)",15,15,,,
"De 45 a 64 años (032)",1758,1526,53,22,157
"Empleado (033)",207,24,18,19,146
"Obrero (034)",72,50,9,3,10
"Trabajador independiente (035)",1146,1126,20,,
"Empleador o patrono (036)",12,12,,,
"Trabajador familiar no remunerado (037)",310,303,6,,1
"Trabajador del hogar (038)",11,11,,,
"De 65 y más años (040)",191,180,6,3,2
"Empleado (041)",11,4,2,3,2
"Obrero (042)",4,4,,,
"Trabajador independiente (043)",156,153,3,,
"Trabajador familiar no remunerado (045)",20,19,1,,
,,,,,
"URBANA (048)",1617,1086,116,74,341
"Empleado (049)",506,81,37,60,328
"Obrero (050)",177,125,27,12,13
"Trabajador independiente (051)",659,625,34,,
"Empleador o patrono (052)",7,7,,,
"Trabajador familiar no remunerado (053)",169,149,18,2,
"Trabajador del hogar (054)",99,99,,,
"De 06 a 14 años (056)",36,30,6,,
"Empleado (057)",3,3,,,
"Obrero (058)",2,2,,,
"Trabajador independiente (059)",6,6,,,
