"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHINCHA (000)",170218,34564,53202,39978,29842,12632
"Sin nivel (001)",3852,375,359,473,1114,1531
"Educación inicial (002)",2315,2191,92,32,,
"Primaria (003)",52538,24098,3860,5904,10814,7862
"Secundaria (004)",70765,7900,30714,19070,10938,2143
"Superior no univ. incompleta (005)",10920,,6553,3061,1173,133
"Superior no univ. completa (006)",14885,,5563,6359,2582,381
"Superior univ. incompleta (007)",5972,,3694,1382,799,97
"Superior univ. completa (008)",8971,,2367,3697,2422,485
"PEA (010)",78464,820,27812,28795,18030,3007
"Sin nivel (011)",961,12,115,222,381,231
"Educación inicial (012)",53,7,31,15,,
"Primaria (013)",12816,417,1952,3338,5243,1866
"Secundaria (014)",36933,384,15198,13565,7219,567
"Superior no univ. incompleta (015)",6316,,3069,2304,893,50
"Superior no univ. completa (016)",11317,,4256,5129,1839,93
"Superior univ. incompleta (017)",3127,,1366,1095,628,38
"Superior univ. completa (018)",6941,,1825,3127,1827,162
"Ocupada (020)",75318,778,26112,27978,17549,2901
"Sin nivel (021)",908,10,91,215,372,220
"Educación inicial (022)",51,6,30,15,,
"Primaria (023)",12324,395,1814,3221,5091,1803
"Secundaria (024)",35397,367,14320,13168,6996,546
"Superior no univ. incompleta (025)",6056,,2893,2240,877,46
"Superior no univ. completa (026)",10878,,3995,4994,1800,89
"Superior univ. incompleta (027)",3008,,1283,1072,616,37
"Superior univ. completa (028)",6696,,1686,3053,1797,160
